成员名称,成员类型
武汉铁路职业技术学院,
中铁武汉局集团有限公司,企业
中铁第四勘察设计院集团有限公司,企业
中铁磁浮交通投资建设有限公司,企业
中铁十一局集团有限公司,企业
中铁大桥局集团有限公司,企业
中铁武汉电气化局集团,
中铁大桥勘测设计院集团有限公司,企业
湖北省铁路建设投资集团有限责任公司,企业
武汉高速铁路职业技能训练段,
中铁科工集团有限公司,企业
中车长江车辆有限公司,企业
中铁集装箱运输有限责任公司武汉分公司,企业
中铁特货运输有限责任公司武汉分公司,企业
沪汉蓉铁路湖北有限责任公司,企业
中移铁通有限公司湖北分公司,企业
中国建筑技术集团有限公司,企业
武汉地铁集团有限公司,企业
中交机电工程局有限公司南方分公司,企业
武汉中车株机轨道交通装备有限公司,企业
郑州捷安高科有限公司,企业
湖北光电显示行业协会,行业协会
中国电信股份有限公司武汉分公司,企业
广州南方测绘科技股份有限公司,企业
武汉纵横天地空间信息技术有限公司,企业
武汉风河科技有限公司,企业
湖北拓实瑞丰科教设备股份有限公司,企业
中铁联合国际集装箱有限公司武汉分公司,企业
武汉浙科友通软件有限公司,企业
中铁十一局集团有限公司电务工程有限公司,企业
中铁四院集团岩土工程有限责任公司,企业
中铁武汉局集团有限公司武汉电务段,企业
中铁武汉局集团有限公司武汉车站,企业
中铁武汉局集团有限公司武昌车站,企业
中铁武汉局集团有限公司汉口车站,企业
中铁武汉局集团有限公司襄阳车站,企业
中铁武汉局集团有限公司襄阳客运段,企业
中铁武汉局集团有限公司武汉北车站,企业
中铁武汉局集团有限公司武昌东车务段,企业
中铁武汉局集团有限公司武汉供电段,企业
中铁武汉局集团有限公司襄阳供电段,企业
中铁武汉局集团有限公司江岸机务段,企业
中铁武汉局集团有限公司襄阳机务段,企业
中铁武汉局集团有限公司武昌南机务段,企业
中铁武汉局集团有限公司武汉大功率机车检修段,企业
中铁武汉局集团有限公司江岸车辆段,企业
中铁武汉局集团有限公司武昌客车车辆段,企业
中铁武汉局集团有限公司襄阳车辆段,企业
中铁武汉局集团有限公司武汉动车段,企业
中铁七局集团武汉工程有限公司,企业
中铁路武汉局集团有限公司武汉桥工段,企业
中铁二十四局集团上海铁建工程有限公司,企业
中铁十一局集团有限公司第四工程有限公司,企业
武汉钢铁工程技术集团有限责任公司工业智造分公司,企业
武汉武铁物流发展有限公司,企业
武汉锐进铁路发展有限公司,企业
珞珈德毅科技(天门)有限公司,企业
武汉楚航测控科技有限公司,企业
百度百捷科技有限公司,企业
武汉武商集团股份有限公司,企业
武汉锐科光纤激光技术股份有限公司,企业
中铁四院集团电气化设计研究处城市轨道交通设计研究所,科研机构
湖北鄂宁苏宁物流有限公司,企业
万豪国际酒店集团,
武汉光谷现代有轨电车运营有限公司,企业
武汉石化交通运输有限公司,企业
海尔中南大区,
湖北嘉一三维高科技股份有限公司,企业
厦门网中网软件有限公司,企业
湖北省电子商务学会,
北京博导前程信息技术股份有限公司,企业
益达（广州）教育科技有限公司,企业
心怡科技股份有限公司,企业
武汉京东世纪贸易有限公司,企业
深圳顺丰泰森控股（集团）有限公司,企业
湖北康辉国际旅行社有限责任公司,企业
华为技术有限公司武汉研究所,科研机构
合肥京东方光电科技有限公司,企业
武汉光讯科技股份有限公司,企业
武汉华工正源光子技术有限公司,企业
湖北省信产通信服务有限公司工程分公司,企业
武汉华星光电股份有限公司,企业
北京玖瑞科技有限公司,企业
武汉海尔电冰柜有限公司,企业
武汉中移信联科技股份有限公司,企业
成都鸿准展业商贸有限公司,企业
湖北省妇幼保健院,
武汉市武昌医院,
武汉市汉阳医院,
武汉大学人民医院,
武汉科技大学附属天佑医院,
湖北铁道运输职业学院,
武汉铁路桥梁职业学院,
武汉电力职业技术学院,
武汉交通职业学院,
武汉船舶职业技术学院,
湖北交通职业技术学院,
武汉市财政学校,
郧西县职业技术学校,
崇阳职业技术学校,
武汉机电工程学校,
武汉市第一商业学校,
荆门技师学院（荆门市机电工程学校）,
武汉市交通学校,
武汉市仪表电子学校,
