成员名称,成员级别
湖南工艺美术职业学院,理事长单位
湖南大众传媒职业技术学院视觉艺术学院,副理事长单位
湖南艺术职业学院美术系,副理事长单位
祁东职业中专,副理事长单位
隆回县职业中等专业学校,副理事长单位
湖南省工艺美术协会,副理事长单位
湖南省服装行业协会,副理事长单位
湖南省室内装饰协会,副理事长单位
湖南省广告协会,副理事长单位
湖南省陶瓷行业协会,副理事长单位
长沙市湘绣协会,副理事长单位
湖南省湘绣研究所,副理事长单位
湖南湘绣城集团,副理事长单位
湖南汇智装饰工程有限公司,副理事长单位
湖南聚势产业园管理有限公司,副理事长单位
湖南省工艺美术研究所,副理事长单位
长沙至简数字技术有限公司,副理事长单位
湖南旭荣制衣有限公司,副理事长单位
圣得西集团,副理事长单位
湘西民族职业技术学院民族艺术系,理事单位
湖南环境生物职业技术学院生态宜居学院,理事单位
临澧县职业中专,理事单位
长沙艺术实验学校,理事单位
常德汽车机电学校,理事单位
邵阳市工业学校,理事单位
澧县职业中专学校,理事单位
江华瑶族自治县职业中专学校,理事单位
通道侗族自治县职业技术总校,理事单位
醴陵市陶瓷烟花职业技术学校,理事单位
长沙金球湘绣有限公司,理事单位
长沙伊飞湘绣有限公司,理事单位
湖南沙坪天利湘绣股份有限公司,理事单位
长沙青竹湖湘绣有限公司,理事单位
长沙成功湘绣有限公司,理事单位
益阳家装E站,理事单位
益阳市苹果装饰有限公司,理事单位
湖南九创装饰工程有限公司,理事单位
常德顾刻装饰工程有限公司,理事单位
常德湘一和装饰工程有限公司,理事单位
长沙艺筑装饰工程有限公司,理事单位
中山大象无形环境艺术工程有限公司,理事单位
北京海天装饰集团,理事单位
北京水晶石计算机技术培训有限公司,理事单位
深圳极速传奇软件开发有限公司,理事单位
湖南中元文化有限公司,理事单位
湖南上东户外传媒有限公司,理事单位
长沙卓都品牌策划设计有限公司,理事单位
益阳市众大霓虹灯装潢广告公司,理事单位
益阳市万达公交广告有限公司,理事单位
益阳市七彩广告公司,理事单位
益阳市东艺广告有限公司,理事单位
益阳海日传媒有限公司,理事单位
益阳市正一印务广告有限公司,理事单位
东莞市子午广告装饰有限公司,理事单位
醴陵瓷艺堂有限公司,理事单位
益竹坊竹木科技有限公司,理事单位
益阳市恒生木业有限公司,理事单位
益阳市朝阳小郁竹艺有限公司,理事单位
湖南秋忆浓冰碛岩工艺材用品开发有限公司,理事单位
重庆市九域文化传播有限责任公司,理事单位
长沙谷石传承雕刻艺术有限公司,理事单位
郴州临武湘玉玉石加工厂,理事单位
深圳市迪特格工业产品设计有限公司,理事单位
深圳市猫头鹰数码科技有限公司长沙分公司,理事单位
湖南畅飞动漫传媒有限公司,理事单位
长沙多边形数码科技有限公司,理事单位
忘不了服饰有限公司,理事单位
湖南派意特服饰有限公司,理事单位
益阳市富晖制衣有限公司,理事单位
上海依柳服饰有限公司,理事单位
