成员名称,成员大类
湖南晨辉建筑工程有限公司,企业
新邵县职业中专学校,
衡阳市建设学校,
湖南省建设人力资源协会,行业协会
湖南省建筑业协会,行业协会
湖南建材工业协会,行业协会
二十三冶建设集团有限公司,企业
湖南建工集团总公司,企业
湖南一建工程有限公司,企业
湖南省第三工程有限公司,企业
郴州职业技术学院,
湖南都市职业学院,
湖南省建设干部学校,
湖南省鸿腾建设工程有限公司,企业
张家界唯读房地产有限公司,企业
湘西自治州诚达房地产有限公司,企业
湖南益阳工程公司,企业
湖南岳阳工程公司,企业
湖南中天建设集团有限公司,企业
湖南伟大集团建设有限公司,企业
湖南省沙坪建筑有限公司,企业
湖南省工业设备安装有限公司,企业
湖南省第六工程公司,企业
湖南省第五工程公司,企业
湖南省第四工程公司,企业
湖南省第二工程公司,企业
中铁十二局集团第七工程有限公司,企业
中国建筑第五工程局有限公司,企业
湖南省路桥工程公司,企业
衡阳县职业中专学校,
长沙市雷锋职业中专学校,
株洲建校,
常德建设培训中心,
长沙建筑工程学校,
长沙市中等城乡建设职业技术学院,
湖南益阳工程公司,企业
湖南岳阳工程公司,企业
湖南中天建设集团有限公司,企业
湖南伟大集团建设有限公司,企业
湖南省沙坪建筑有限公司,企业
湖南省工业设备安装有限公司,企业
湖南省第六工程公司,企业
湖南省第五工程公司,企业
湖南省第四工程公司,企业
湖南省第二工程公司,企业
中铁十二局集团第七工程有限公司,企业
中国建筑第五工程局有限公司,企业
湖南省路桥工程公司,企业
衡阳县职业中专学校,
长沙市雷锋职业中专学校,
长沙县职业中专学校,
株洲建校,
常德建设培训中心,
长沙建筑工程学校,
长沙市中等城乡建设职业技术学院,
湖南省鸿腾建设工程有限公司,企业
张家界唯读房地产有限公司,企业
湘西自治州诚达房地产有限公司,企业
湖南益阳工程公司,企业
湖南岳阳工程公司,企业
湖南中天建设集团有限公司,企业
湖南伟大集团建设有限公司,企业
湖南省沙坪建筑有限公司,企业
湖南省工业设备安装有限公司,企业
湖南省第六工程公司,企业
湖南省第五工程公司,企业
湖南省第四工程公司,企业
湖南省第二工程公司,企业
中铁十二局集团第七工程有限公司,企业
