成员名称,成员类型
湘西民族职业技术学院,院校
邵阳职业技术学院,院校
怀化职业技术学院,院校
湖南铁道职业技术学院,院校
张家界航空工业职业技术学院,院校
娄底职业技术学院,院校
常德工业学院,院校
长沙民政职业技术学院,院校
湖南电气职业技术学院,院校
湖南机电职业技术学院,院校
益阳职业技术学院,院校
湖南信息职业技术学院,院校
湖南工业职业技术学院,院校
浙江中凯科技股份有限公司,企业
湖南顶立科技有限公司,企业
湖南吉利汽车部件有限公司,企业
武汉华中数控股份有限公司,企业
湖南同心实业有限责任公司,企业
湖南中铁五新集团,企业
蓝思科技（湖南）有限公司,企业
湖南有色重型机器有限责任公司,企业
湖南宝之崃汽车销售服务有限公司,企业
中联重科股份有限公司,企业
三一集团股份有限公司,企业
江麓机电科技有限公司,企业
长沙重型机器制造有限责任公司,企业
山河智能装备股份有限公司,企业
湘电集团有限公司,企业
江麓机电科技有限公司,企业
长沙重型机器制造有限责任公司,企业
山河智能装备股份有限公司,企业
湘电集团有限公司,企业
长丰（集团）有限责任公司,企业
博世汽车部件（长沙）有限公司,企业
北汽福田股份有限公司长沙汽车厂,企业
湖南千山制药机械股份有限公司,企业
远大空调有限公司,企业
富士康科技集团,企业
特变电工衡阳变压器有限公司,企业
长沙高压开关有限公司,企业
长沙电机厂有限责任公司,企业
长沙众泰汽车工业有限公司,企业
湖南晓光汽车模具有限公司,企业
长沙宇力电子科技有限公司,企业
望城县移动分公司,企业
湖南合创新材料有限公司,企业
湖南中科电气股份有限公司,企业
湖南科瑞特科技股份有限公司,企业
长沙蓝狐网络技术有限公司,企业
湖南正昊置业发展有限公司长青机械制造分公司,企业
长沙楚天包装技术有限公司,企业
湖南机械行业管理办公室,企业
湖南维德科技发展有限公司,企业
郴州市三丰冶金机械有限公司,企业
衡阳伟业冶金矿山机械有限公司,企业
衡阳起重运输机械有限公司,企业
湖南耐普汞业有限公司,企业
湖南仪瑞科技发展有限责任公司,企业
湖南唯罗克纺织印染机械有限公司,企业
长沙起重机厂有限公司,企业
湖南山水乘云设计装饰工程有限公司,企业
湖南华侨建设开发集团有限公司,企业
湖南南方卡通公司,企业
长沙成想装饰设计有限公司,企业
青木系包装平面设计工作室,企业
长沙中玛灯箱有限公司,企业
湖南金鹰园林绿化工程有限公司,企业
长沙市领头羊品牌设计公司,企业
长沙市华宇大酒店,企业
湖南花枝新天地国旅,企业
长沙众惠工艺品有限公司,企业
湖南合丰数控机床有限公司,企业
长沙法斯特电子智能有限公司,企业
湖南天银信息产业公司,企业
湖南天一制造技术有限公司,企业
东方标准人才服务有限公司（湖南管理中心）,企业
长沙市岳麓峰机械加工厂,企业
长沙市金纳吉机电设备有限公司,企业
长沙市航天星宇机电厂,企业
长沙市麓峰机械厂,企业
长沙市天诺机械制造有限公司,企业
长沙长瑞精密机械有限公司,企业
湖南航天磁电机械有限责任公司,企业
恒飞机械厂,企业
湘潭市文铠科技实业有限责任公司,企业
湘潭江麓精密机械有限公司,企业
衡山汽车制造有限公司,企业
长沙浩润模具有限公司,企业
长沙市雨花区鑫盛机车配件厂,企业
长沙鼓风机厂有限责任公司,企业
长沙宝峰机械有限公司,企业
湖南长庆机电科教有限公司,企业
长沙笑哈哈生物科技公司,企业
