成员名称,成员大类
湖南现代物流职业技术学院,
长沙金霞经济开发区管委会,
国药控股湖南有限公司,企业
湖南一力股份有限公司,企业
招商局物流集团湖南有限公司,企业
全洲药业集团湖南商康医药电子商务有限公司,企业
湖南省京阳物流有限公司,企业
湖南星沙物流投资有限公司,企业
湖南湾田集团有限公司,企业
湖南省标准化研究院,
湖南力邦物流有限公司,企业
湖南金霞粮食产业有限公司,企业
大汉物流股份有限公司,企业
湖南长株潭国际物流公司,企业
南方建材股份有限公司,企业
湖南中南物流有限公司,企业
湖南天骄物流信息科技有限公司,企业
湖南省衡缘物流有限公司,企业
长沙联运物流公司,企业
长沙金霞保税物流中心,
长沙恩瑞物流配送有限公司,企业
阿凡提物流有限公司,企业
湖南省临空产业投资开发有限公司,企业
湖南省湘南物流有限公司,企业
长沙市物流行业协会,行业协会
长沙希赛信息技术有限公司,企业
湖南益捷国际货运有限公司,企业
湖南中飞物流有限公司,企业
中国电信湖南省分公司,企业
中国外包世界（香港）有限公司,企业
湖南湘楚财税咨询管理（集团）有限公司,企业
长沙海驿物流有限公司,企业
湖南科技职业学院,
长沙商贸旅游职业技术学院,
长沙财经学校,
长沙市望城区中等职业学校,
上海齐鑫自动化系统有限公司,企业
湖南湘通物流有限公司,企业
湖南湘通物流有限公司,企业
湖南省烟草物流公司,企业
湖南省现代物流学会,
湖南省邮政速递物流有限公司,企业
浙江小鸡快修（中国）电脑科技有限公司,企业
湖南融城物通天下物流有限公司,企业
长沙好运来运输服务有限公司,企业
湖南白沙运输有限公司,企业
上海佳吉快运有限公司长沙分公司,企业
湖南路捷物流有限公司,企业
安徽合力股份有限公司,企业
长沙市实泰置业有限公司,企业
长沙指月文化传播有限公司阿里学院长沙服务中心,企业
湖南粮食集团有限责任公司,企业
湖南红星冷冻食品有限公司,企业
湖南省怀化市物产集团公司,企业
湖南省地宝龙（集团）装饰材料有限公司,企业
远大集团,
湖南成工华河机械有限公司,企业
湖南恒基会计师事务所,
湖南华悦酒店有限公司,企业
湖南日报,
湖南圣爵菲斯投资有限公司,企业
广州市远望谷信息技术有限公司,企业
广州三德信息科技有限公司,企业
长沙民政职业技术学院,
湖南交通职业技术学院,
湖南商务职业技术学院,
湖南生物机电职业技术学院,
湖南石油化工职业技术学院,
湖南铁路科技职业技术学院,
南华大学,
湖南工业职业技术学院,
湖南工程职业技术学院,
长沙航空职业技术学院,
长沙环境保护职业技术学院,
长沙南方职业学院,
湖南科技经贸职业学院,
中南工业学校,
株洲市中等职业学校,
长沙市园通速递服务有限公司,企业
现代物流报社,
江苏天赋力现代物流有限公司,企业
北京易通交通信息发展有限公司,企业
岳阳城陵矶港务有限公司,企业
中铁快运广州分公司,企业
湖南汽车城有限公司,企业
湖南隆华金属材料有限公司,企业
湖南新物产物贸有限公司,企业
湖南省德胜科工贸有限公司,企业
长沙迅通物流有限公司,企业
长沙双鹤医药有限责任公司,企业
苏宁电器长沙公司,企业
安得物流股份有限公司,企业
长沙高新区湘流信息技术公司,企业
远成集团有限公司湖南分公司,企业
天地华宇,
深圳市中诺思资讯科技有限公司,企业
湖南和昌机械制造厂,
衡阳横钢鸿华物流有限公司,企业
中储发展股份有限公司衡阳分公司,企业
永州市工商职业中专学校,
长沙职业技术学院,
湖南电气职业技术学院,
郴州职业技术学院,
岳阳市物流工程职业学校,
安乡职业中专学校,
澧县职业中专学校,
汨罗市职业中专学校,
湖南化工职业技术学院,
