成员名称,成员级别
湖南省教育厅,集团顾问
湖南省畜牧水产局,集团顾问
永州市人民政府,集团顾问
湖南省教育厅职成处,集团顾问
永州职业技术学院,集团顾问
永州职业技术学院,理事长单位
湖南生物机电职业技术学院,副理事长单位
湖南环境生物职业技术学院,副理事长单位
怀化职业技术学院,副理事长单位
湖南大北农农业科技股份有限公司,副理事长单位
湖南烟村生态农牧科技股份有限公司,副理事长单位
湖南恒惠集团,副理事长单位
娄底职业技术学院,常务理事单位
常德职业技术学院,常务理事单位
岳阳职业技术学院,常务理事单位
湘西民族职业技术学院,常务理事单位
杨凌本香现代农业集团,常务理事单位
湖南正大畜禽有限公司,常务理事单位
湖南唐人神集团,常务理事单位
湖南佳和农牧公司,常务理事单位
湖南新湘农农牧有限公司,常务理事单位
湖南新五丰股份有限公司,理事单位
湖南正虹科技发展股份有限公司,理事单位
正大岳阳有限公司,理事单位
湖南天顺畜牧科技有限公司,理事单位
湖南天心种猪场,理事单位
永州市良种猪场,理事单位
永州工贸中专,理事单位
永州养猪协会,理事单位
湖南九鼎科技（集团）有限公司,理事单位
永州佳和农牧有限公司,理事单位
湖南省生猪产业技术体系湘南试验站,理事单位
永州佳和农牧有限公司,理事单位
永州市零陵区福祥畜牧有限公司,理事单位
祁阳种金农牧有限公司,理事单位
永州市志诚畜牧有限公司,理事单位
永州天裕托佩克种猪公司,理事单位
冷水滩龙脉冲养猪场,理事单位
