成员名称,成员级别
兰州石化职业技术学院,理事长
甘肃交通职业技术学院,副理事长
江苏康众实业投资有限公司,副理事长
甘肃农业大学工学院,副理事长
兰州商业学校,副理事长
甘肃民族师范学院,理事单位
兰州职业技术学院,理事单位
甘肃恒利中等专业学校,理事单位
西峰职业中等专业学校,理事单位
白银职业中等专业学校,理事单位
庄浪县职业教育中心,理事单位
平凉机电工程学校,理事单位
会宁县职业教育中心,理事单位
天祝藏族自治县职业教育中心,理事单位
华亭县职业教育中心,理事单位
天水市职业技术学校,理事单位
凉州区职业中等专业学校,理事单位
平凉理工中等专业学校,理事单位
甘肃省理工中等专业学校,理事单位
天水农业学校,理事单位
民勤县职业中等专业学校,理事单位
庆阳林业学校,理事单位
庆阳职业技术学院,理事单位
高台县职业中等专业学校,理事单位
定西工贸中等专业学校,理事单位
兰州市红古区职业教育中心,理事单位
陇南师范高等专科学校,理事单位
临夏现代职业学院,理事单位
甘肃工业职业技术学院,理事单位
兰州理工中等专业学校,理事单位
甘肃机电职业技术学院,理事单位
定西市高级职业技术学校,理事单位
兰州吉利汽车工业有限公司,理事单位
甘肃博崛科贸有限公司,理事单位
江苏康众实业投资有限公司,理事单位
上海景格科技股份有限公司,理事单位
深圳国泰安教育技术股份有限公司,理事单位
北京东旭达科技有限公司,理事单位
麦特汽车服务股份有限公司,理事单位
甘肃华泰昌汽车贸易有限公司,理事单位
兰州宝鑫行汽车销售服务有限责任公司,理事单位
兰州翔宇汽车销售服务有限公司,理事单位
中德诺浩（北京）教育投资有限公司,理事单位
兰州新奥驰泰汽车销售服务有限公司,理事单位
兰州盛世安驰商贸有限公司,理事单位
长春市康嘉教学设备有限公司,理事单位
兰州市运昌驾驶员培训员有限公司,理事单位
甘肃晨信商贸有限公司,理事单位
