成员名称,成员大类
绵阳市国有资产监督管理委员会,政府成员
绵阳市人力资源和社会保障局,政府成员
绵阳市科学技术局,政府成员
绵阳市文化广播电视和旅游局,政府成员
绵阳市教育考试院,政府成员
绵阳市游仙区住建局,政府成员
绵阳市教育和体育局,政府成员
游仙经济开发区投资促进局,政府成员
绵阳市经济和信息化委员会,政府成员
绵阳飞行职业学院,院校成员
四川九洲技师学院,院校成员
西南科技大学信息工程学院,院校成员
西南科技大学材料与化学学院,院校成员
西南科技大学应用技术学院,院校成员
西南科技大学分析测试中心,院校成员
绵阳师范学院美术学院实训中心,院校成员
绵阳师范学院历史文化与旅游学院,院校成员
西华大学建筑与土木工程学院,院校成员
西南科技大学土木工程与建筑学院,院校成员
西南财经大学天府学院,院校成员
西南科技大学城市学院,院校成员
绵阳职业技术学院,院校成员
四川汽车职业技术学院,院校成员
四川幼儿师范高等专科学校,院校成员
四川中医药高等专科学校,院校成员
四川电子机械职业技术学院,院校成员
绵阳广播电视大学,院校成员
四川文化艺术学院,院校成员
绵阳市游仙职业技术学校,院校成员
四川省绵阳职业技术学校,院校成员
三台县刘营职业高级中学校,院校成员
梓潼县七一高级职业中学校,院校成员
四川省盐亭县职业技术学校,院校成员
四川省档案学校,院校成员
四川省绵阳财经学校,院校成员
四川省食品药品学校,院校成员
四川省绵阳农业学校,院校成员
北川羌族自治县“七一”职业中学,院校成员
四川省绵阳旅游学校,院校成员
四川省江油市职业中学校,院校成员
绵阳市游仙职业教育中心,院校成员
成都石化工业学校,院校成员
四川省达县职业高级中学,院校成员
四川省德阳市黄许职业中专学校,院校成员
四川省汉源县职业高级中学,院校成员
绵阳市安州区高级职业中学,院校成员
富顺职业技术学校,院校成员
四川省大邑县职业高级中学,院校成员
四川省剑阁职业高级中学校,院校成员
四川省乐至县高级职业中学校,院校成员
四川省泸州市江阳职业高级中学校,院校成员
中建材智慧工业科技有限公司,企业成员
中国中材国际工程股份有限公司(南京),企业成员
四川长虹电子集团,企业成员
绵阳市惠科光电科技有限公司,企业成员
四川峨胜水泥集团股份有限公司,企业成员
西南水泥有限公司,企业成员
中九建工集团有限公司,企业成员
绵阳海立电器有限公司,企业成员
吉利四川商用车有限公司,企业成员
百得（苏州）科技有限公司,企业成员
绵阳苏宁易购销售有限公司,企业成员
绵阳意菲汽车销售服务有限公司,企业成员
四川华邦保和科技集团有限公司,企业成员
四川同舟化工科技有限公司,企业成员
四川绵阳富临建筑材料有限公司,企业成员
四川砼道科技有限公司,企业成员
眉山市巩固建材有限公司,企业成员
巨石集团成都有限公司,企业成员
四川金顶集团有限公司,企业成员
明达玻璃（成都）有限公司,企业成员
四川中材管道有限公司,企业成员
绵阳志盛建筑工程有限公司,企业成员
绵阳市同立建筑工程有限公司,企业成员
绵阳科发远大建筑科技有限公司,企业成员
四川环宇建筑设计有限公司,企业成员
四川创艺时代工程设计有限公司,企业成员
四川兴绵房地产开发有限公司,企业成员
四川九州电子科技股份有限公司,企业成员
四川长虹电器股份有限公司,企业成员
四川上汉电气有限公司,企业成员
永安电力股份有限公司,企业成员
四川绵州通力电梯有限公司,企业成员
四川居里亚智能家具有限公司,企业成员
绵阳市平政电子科技有限公司,企业成员
四川江淮汽车有限公司,企业成员
成都中电熊猫显示科技有限公司,企业成员
四川鑫元瑞科技有限公司,企业成员
绵阳市宏发机械制造有限责任公司,企业成员
苏州中成新能源科技股份有限公司,企业成员
富士康MCEBG,企业成员
四川九州光电子技术有限公司,企业成员
四川龙华光电薄膜股份有限公司,企业成员
四川安和精密电子电器股份有限公司,企业成员
绵阳市王文俪导游服务技能大师工作室,企业成员
绵阳嘉途旅行社有限公司,企业成员
四川丰泰投资集团有限公司,企业成员
绵阳增艺文化传媒有限责任公司,企业成员
绵阳市妇幼保健计划生育中心,企业成员
绵阳富临医院,企业成员
绵阳万江眼科医院,企业成员
绵阳爱尔眼科医院,企业成员
四川省科学城医院,企业成员
绵阳市游仙区中医医院,企业成员
江油市中医医院,企业成员
江油九〇三医院,企业成员
江油市第四人民医院,企业成员
盐亭县肿瘤医院,企业成员
四川长虹电子控股集团有限公司,企业成员
绵阳众益企业管理服务集团有限公司,企业成员
成都金发科技新材料有限公司,企业成员
四川佑泰清算服务有限公司,企业成员
绵阳三人行财务有限责任公司,企业成员
绵阳市超仁财务会计代理有限公司,企业成员
绵阳市公量房地产评估咨询有限公司,企业成员
绵阳荣鼎科技有限公司,企业成员
四川捷诺资产经营管理有限公司,企业成员
