成员名称,成员类型
上海启步教育集团,企业代表
上海市人口早期发展协会,企业代表
上海早期发展评估院,企业代表
中国科学育儿指导服务中心,企业代表
中加科学育儿国际合作项目基地,企业代表
中华两岸教育文化交流学会,企业代表
贵州人民出版社有限公司,企业代表
北京远流文化传播有限公司,企业代表
重庆树人教育研究院,企业代表
贵州省学前教育研究会,企业代表
重庆树人教育研究院,企业代表
贵州省学前教育研究会,企业代表
贵州省贵阳幼专,集团校代表
铜仁幼专,集团校代表
毕节幼专,集团校代表
黔南幼专,集团校代表
黔东南民族职业技术学院,集团校代表
贵州省商业学校,集团校代表
贵州省内贸学校,集团校代表
贵阳市女子职业学校,集团校代表
白云区职业技术学校,集团校代表
凤冈县中等职业学校,集团校代表
余庆中等职业学校,集团校代表
凯里第一中等职业学校,集团校代表
紫云县中等职业学校,集团校代表
兴仁县中等职业学校,集团校代表
瓮安县中等职业学校,集团校代表
荔波县中等职业学校,集团校代表
贵州工程应用技术学院,集团校代表
贵州省财政学校,集团校代表
贵阳市第一幼儿园,幼儿园代表
贵阳市第二幼儿园,幼儿园代表
贵阳市中心实验幼儿园（机关幼儿园）,幼儿园代表
贵阳市实验幼儿园,幼儿园代表
贵阳市第二实验幼儿园,幼儿园代表
贵阳市第三实验幼儿园,幼儿园代表
贵阳市第五幼儿园,幼儿园代表
贵阳市第六幼儿园,幼儿园代表
贵阳市第八幼儿园,幼儿园代表
贵阳市第九幼儿园,幼儿园代表
贵阳市第十一幼儿园,幼儿园代表
贵阳市第十二幼儿园,幼儿园代表
贵阳市第十三幼儿园,幼儿园代表
贵州省人民政府机关幼儿园,幼儿园代表
贵州师范大学幼儿园,幼儿园代表
贵阳市六一幼儿园,幼儿园代表
贵阳市南明幼儿园,幼儿园代表
贵阳市南明实验幼儿园,幼儿园代表
贵阳市花溪区花溪幼儿园,幼儿园代表
贵阳市花溪区第二幼儿园,幼儿园代表
贵阳市白云区第一幼儿园,幼儿园代表
观山湖区第一幼儿园,幼儿园代表
观山湖区贵州现代幼教集团,幼儿园代表
观山湖区金贝尔加德纳幼儿园,幼儿园代表
清镇机关幼儿园,幼儿园代表
清镇市红枫镇幼儿园,幼儿园代表
