成员名称,成员类型
湖北远升房地产集团有限公司,企业
广东建发工程管理有限公司分公司,企业
湖北锦洋水利水电建筑有限公司,企业
咸宁至和房地产开发有限公司,企业
湖北南楚建筑工程有限公司,企业
湖北方圆工程造价咨询公司,企业
湖北新达工程造价咨询公司,企业
咸宁市桂泉物业服务有限公司,企业
武汉凯乐丰垠物业管理有限公司,企业
中国电信咸宁分公司,企业
湖北移动咸宁分公司,企业
湖北兴耀华模型有限公司,企业
湖北三六重工有限公司,企业
广绅电器（湖北）有限公司,企业
华声机电有限公司,企业
咸宁天宏化工有限公司,企业
湖北北辰塑料科技有限公司,企业
华博阳光机电有限公司,企业
武汉博大鑫海木业制品有限公司,企业
湖北三环汽车方向机有限公司,企业
湖北阳光电气有限公司,企业
咸宁碧桂园凤凰温泉酒店有限公司,企业
咸宁阳光酒店,
咸宁公信会计师事务所有限公司,企业
娃哈哈集团有限公司（咸宁）,企业
湖北汇宁物流有限公司,企业
湖北风情赤壁度假区投资管理有限公司,企业
武汉大政科技有限责任公司,企业
富土康科技有限公司（武汉）,企业
湖北北辰汽车转向系统有限公司,企业
湖北奕东精密制造有限公司,企业
咸宁南玻玻璃有限公司,企业
武汉天马微电子有限公司,企业
湖北星聚设备有限公司,企业
咸宁凯迪电子科技有限公司,企业
咸宁润华科技有限公司,企业
咸宁百世捷科技有限公司,企业
湖北碧云园林绿化有限责任公司,企业
咸宁福人药业有限公司,企业
湖北圣诺生物科技有限公司,企业
湖北富土峰生物科技有限公司,企业
湖北人福康华药用辅料有限公司,企业
湖北省九宫山国家级自然保护区,
咸宁潜山国家森林公园,
咸宁淦川园林景观设计有限公司,企业
咸宁交通银行,
华道数据处理（昆山）有限公司,企业
上海汉宇集团有限公司,企业
天津滨海圣光皇冠假日酒店,
咸宁广联传媒科技有限公司,企业
智能人才连锁集团咸宁公司,企业
武汉美斯坦福信息技术有限公司,企业
武汉中软智能信息技术有限公司,企业
咸宁洪盛模具有限公司,企业
黄石东贝机电集团有限公司,企业
武汉联想移动通信制造有限公司,企业
湖北第四地质大队,
咸宁市安居房地产估价与测量有限责任公司,企业
咸宁市土地勘测规划院,
深圳特蕾新教育集团,
深圳雏鹰幼教集团,
深圳大唐明升教育集团,
深圳市星秀教育集团,
奥瑞金饮料工业有限公司,企业
武汉迪奥药业有限公司,企业
湖北汇瑞药业股份有限公司,企业
湖北青鹏园艺有限公司,企业
咸宁碧桂园幼儿园,
湖北德顺投资有限公司,企业
晶晶国际教育集团,
广州新航线,
武汉市黄陂区宾云测绘中心,
美的集团武汉制冷设备有限公司,企业
武汉爱机汽车配件有限公司,企业
长安马自达汽车有限公司,企业
浙江余桃宾馆有限责任公司,企业
武汉达内软件有限公司,企业
咸宁必虎网络有限公司,企业
咸宁华瑞机电有限公司,企业
咸宁红缨幼儿园,
长沙小新星教育集团,
武汉软帝科技信息有限公司,企业
