成员名称,成员级别
重庆电子工程职业学院,理事长单位
重庆邮电大学,副理事长单位
重庆科技学院,副理事长单位
法国亚眠大学,副理事长单位
马来西亚博特拉大学,副理事长单位
重庆工业职业技术学院,副理事长单位
重庆工程职业技术学院,副理事长单位
重庆城市管理职业学院,副理事长单位
重庆航天职业技术学院,副理事长单位
四川信息职业技术学院,副理事长单位
重庆安全技术职业学院,副理事长单位
重庆科创职业学院,副理事长单位
重庆应用技术职业学院,副理事长单位
重庆市渝北职教中心,副理事长单位
重庆市秀山县职教中心,副理事长单位
重庆市轻工业学校,副理事长单位
重庆市育才职业教育中心,副理事长单位
巫溪职教中心,副理事长单位
华为技术有限公司重庆代表处,副理事长单位
北京华晟经世信息技术有限公司,副理事长单位
重庆京东方光电科技有限公司,副理事长单位
重庆长安汽车股份有限公司,副理事长单位
富士康科技集团（重庆）有限公司,副理事长单位
重庆鸿捷通信科技发展有限公司,副理事长单位
重庆直通物流有限公司,副理事长单位
泸州老窖集团有限责任公司,副理事长单位
深圳普乐创投投资管理有限公司,副理事长单位
重庆威冠实业有限公司,副理事长单位
重庆骏马电子科技有限公司,副理事长单位
重庆若可网络安全测评技术有限公司,副理事长单位
重庆海王星网络有限公司,副理事长单位
深圳宝德计算机系统有限公司,副理事长单位
重庆欧科建联科技有限公司,副理事长单位
蓝盾信息安全技术有限公司重庆分公司,副理事长单位
东方中讯数字证书认证有限公司,副理事长单位
重庆翰海睿智大数据科技有限公司,副理事长单位
重庆职业教育学会传媒艺术专业委员会,副理事长单位
重庆电子信息技术职业教育指导委员会,副理事长单位
中国通信工业协会信息安全与云计算校企联盟,副理事长单位
重庆通信行业校企联盟,副理事长单位
重庆市物联网产业协会教育与培训专委会,副理事长单位
重庆市工业机器人专业教学指导委员会,副理事长单位
重庆工商职业学院,理事单位
重庆青年职业技术学院,理事单位
重庆机电职业技术学院,理事单位
重庆三峡职业学院,理事单位
重庆工贸职业技术学院,理事单位
重庆能源职业学院,理事单位
重庆公共运输职业学院,理事单位
重庆商务职院,理事单位
重庆电讯职业学院,理事单位
重庆电力高等专科学校,理事单位
四川三河职业学院,理事单位
重庆房地产职业学院,理事单位
重庆市立信职教中心,理事单位
重庆市酉阳县职教中心,理事单位
重庆市教育管理学校,理事单位
重庆市龙门浩职业教育中心,理事单位
重庆市黔江区民族职业教育中心,理事单位
巫溪文峰职业中学校,理事单位
重庆铜梁职教中心,理事单位
重庆云凯科技有限公司,理事单位
重庆昂码信息科技有限公司,理事单位
重庆城银科技有限公司,理事单位
重庆叠榭信息科技有限公司,理事单位
重庆凯米腾科技有限公司,理事单位
重庆世喆科技有限公司,理事单位
重庆朔悦科技有限公司,理事单位
重庆立固网兴网络有限公司,理事单位
重庆满四山科技有限公司,理事单位
重庆微标科技有限公司,理事单位
重庆中集物流股份有限公司,理事单位
重庆百居电子商务有限公司,理事单位
金电联行（重庆）信息技术有限公司,理事单位
重庆库嘉教育科技发展有限公司,理事单位
重庆欧法教育信息咨询服务有限公司,理事单位
重庆隆鑫通用动力股份有限公司,理事单位
重庆远发耀翼企业管理咨询有限公司,理事单位
重庆长帆新能源汽车有限公司,理事单位
北汽银翔汽车有限公司,理事单位
恒亦明（重庆）科技有限公司,理事单位
聚物腾云物联网（上海）有限公司,理事单位
重庆汇锦电子工程有限公司,理事单位
重庆卓鹏科技有限公司,理事单位
重庆宇凡光电科技有限公司,理事单位
中电科技集团重庆声光电有限公司,理事单位
重庆君歌电子科技有限公司,理事单位
重庆中科渝芯电子有限公司,理事单位
北京百科融创教学仪器设备有限公司,理事单位
重庆百立丰科技有限公司,理事单位
大唐移动通信设备有限公司,理事单位
广东华讯工程有限公司,理事单位
重庆环联科技有限公司,理事单位
中国铁塔股份有限公司重庆分公司,理事单位
重庆爱立信通讯有限公司,理事单位
重庆永鹏网络科技有限公司,理事单位
重庆观度科技有限公司,理事单位
重庆仁宝机电成套设备有限公司,理事单位
珠海因尔科技有限公司,理事单位
重庆敏特汽车零部件有限公司,理事单位
北京天融信网络安全技术有限公司,理事单位
重庆小企鹅科技有限公司,理事单位
重庆晓维网络科技有限公司,理事单位
重庆银拓信息技术有限责任公司,理事单位
神州数码,理事单位
泰国北标工业教育学院,理事单位
泰国春武里技术学院,理事单位
泰国班派工业教育学院,理事单位
泰国洛坤技术学院,理事单位
泰国蓝彭技术学院,理事单位
泰国北榄技术学院,理事单位
韩国东亚大学,理事单位
韩国启明大学,理事单位
