成员名称,成员类型,成员级别
重庆财经职业学院,,理事长单位
重庆商务职业学院,,副理事长单位
重庆城市职业学院,,副理事长单位
重庆城市管理职业学院,,副理事长单位
重庆资源与环境保护职业学院,,副理事长单位
重庆永辉超市有限公司,企业,副理事长单位
重庆市电子商务协会,行业协会,副理事长单位
重庆京邦达物流有限公司,企业,副理事长单位
四川仪表工业学校,,副理事长单位
重庆财政学校,,副理事长单位
重庆市代理记账行业协会,行业协会,副理事长单位
永川大数据产业园,,副理事长单位
重庆会展行业协会,行业协会,副理事长单位
湖北美和易思教育科技有限公司,企业,副理事长单位
重庆市纺织服装联合会,,副理事长单位
重庆商务学校,,理事单位
云阳职业教育中心,,理事单位
綦江职业教育中心,,理事单位
铜梁职业教育中心,,理事单位
重庆市彭水县职业教育中心,,理事单位
重庆市荣昌区职业教育中心,,理事单位
重庆市永川职业教育中心,,理事单位
重庆市江南职业学校,,理事单位
重庆巫山职业教育中心,,理事单位
重庆市黔江区民族职业教育中心,,理事单位
重庆市酉阳职业教育中心,,理事单位
大足职业教育中心,,理事单位
深圳百果园实业发展有限公司,企业,理事单位
重庆链家房地产经纪有限公司,企业,理事单位
重庆中赞实业有限公司,企业,理事单位
重庆智汇人才开发有限公司,企业,理事单位
重庆直通国际物流有限公司,企业,理事单位
秀山华渝物流投资有限公司,企业,理事单位
沃尔玛（重庆）百货有限公司,企业,理事单位
重庆人本集团有限公司,企业,理事单位
重庆壹点通会计财务有限公司,企业,理事单位
重庆贤内助财务咨询有限公司,企业,理事单位
重庆索原会计事务所,,理事单位
重庆立祥财务咨询有限公司,企业,理事单位
重庆博文财务管理有限公司,企业,理事单位
四川德康农牧食品集团股份有限公司,企业,理事单位
重庆碧景财务代账有限公司,企业,理事单位
北美国际教育集团,,理事单位
安博教育集团,,理事单位
重庆永川片区金融学会,,理事单位
中国建设银行股份有限公司永川支行,企业,理事单位
天安财产保险股份有限公司重庆分公司,企业,理事单位
华龙证券股份有限公司重庆永川人民大道证券营业部,企业,理事单位
重庆百分文化传媒（集团）股份有限公司,企业,理事单位
浙江衡信教育科技有限公司,企业,理事单位
重庆瀚海睿智大数据科技有限公司,企业,理事单位
重庆仙桃数据谷投资管理有限公司,企业,理事单位
筑智建科技（重庆）有限公司,企业,理事单位
重庆段氏服饰有限公司,企业,理事单位
重庆工元工程项目管理有限公司,企业,理事单位
利宝保险有限公司重庆分公司,企业,理事单位
猪八戒股份有限公司,企业,理事单位
