成员名称,成员大类
西安航空职业技术学院,
中航工业陕西航空工业管理局,
西安阎良国家航空高技术产业基地(西安航空基地管委社会事业局),
中国人民解放军5702工厂,
中航西安飞机工业集团股份有限公司,企业
中国航发西安航空发动机有限公司,企业
陕西飞机工业（集团）有限公司,企业
陕西国防工业职业技术学院,
陕西航空职业技术学院,
陕西金宇航空科技有限公司,企业
东方航空技术有限公司西北分公司,企业
中国飞行试验研究院,
航空工业第一飞机设计研究院,
航空工业飞机强度研究所,科研机构
西安航天发动机有限公司,企业
西安航天动力机械有限公司,企业
航空工业庆安集团有限公司,企业
陕西宏远锻造有限责任公司,企业
中国航发西安航空动力控制科技有限公司,企业
航空工业西安飞行自动控制研究所,科研机构
航空工业西安航空制动科技有限公司,企业
中航飞机汉中航空零组件制造有限公司,企业
西安航空计算技术研究所,科研机构
陕西宝成航空仪表有限责任公司,企业
陕西华燕航空仪表有限公司,企业
陕西长空齿轮有限责任公司,企业
西安鑫垚陶瓷复合材料有限公司,企业
西安三角防务股份有限公司,企业
西安泽达航空制造有限责任公司,企业
西安航天三沃化学有限公司,企业
陕西国一四维航测遥感有限公司,企业
西安嘉业航空科技有限公司,企业
西安翔辉机电科技有限责任公司,企业
西安远飞航空技术发展有限公司,企业
西安德润航空科技有限公司,企业
西安神骑航空科技有限公司,企业
西安天鹏航空科技有限公司,企业
西安威胜航空科技发展有限公司,企业
西安靖轩航空科技有限公司,企业
西安航旅票务信息咨询有限公司,企业
西安致远航空科技有限公司,企业
西安市康铖机械制造有限公司,企业
西安维德航空仿真设备有限公司,企业
西安兴航航空科技股份有限公司,企业
西安皓森精铸有限公司,企业
西安势加动力科技有限公司,企业
西安航空科技创新服务中心有限公司,企业
陕西职业技术学院,
商洛职业技术学院,
陕西航空技师学院,
西安市阎良区职教中心,
彬州市职业教育中心,
陕西省电子信息学校,
陕西航空医科职业技术学校,
米脂县职教中心,
陕西省渭南工业学校（渭南技师学院）,
西飞培训中心（西飞工学院）,
西飞技师学院,
陕西省石油化工学校,
