成员名称,成员大类,成员级别
黑龙江职业学院,,理事长单位
黑龙江农业工程职业学院,,副理事长单位
黑龙江农业经济职业学院,,副理事长单位
黑龙江农业职业技术学院,,副理事长单位
黑龙江农垦科技职业学院,,副理事长单位
黑龙江民族职业学院,,副理事长单位
黑龙江省动物疫病预防控制中心,,副理事长单位
黑龙江畜牧兽医杂志社,,副理事长单位
哈尔滨兽医研究所动物卫生检测中心,科研机构,副理事长单位
谷实农牧集团股份有限公司,企业,副理事长单位
正大饲料（哈尔滨）有限公司,企业,副理事长单位
黑龙江正大实业有限公司,企业,副理事长单位
哈尔滨鹏程饲料科技有限公司,企业,副理事长单位
黑龙江伟嘉农牧食品有限公司,企业,副理事长单位
哈尔滨绿达生动物药业有限公司友,企业,副理事长单位
哈尔滨鸿福集团有限公司,企业,副理事长单位
黑龙江大北农农牧食品有限公司,企业,副理事长单位
黑龙江省农垦机械化学校,,副理事长单位
五大连池市职业教育中心学校,,副理事长单位
富裕县职业教育中心学校,,副理事长单位
依安县职业教育中心学校,,副理事长单位
龙江县职业教育中心学校,,副理事长单位
哈尔滨三元畜产实业有限公司,企业,理事单位
黑龙江晟龙农牧科技开发有限公司,企业,理事单位
哈尔滨市华农威普动物保健品有限公司,企业,理事单位
黑龙江天宏牧业责任有限公司,企业,理事单位
黑龙江鸿大田原牧业有限公司,企业,理事单位
哈尔滨宏望饲料有限公司,企业,理事单位
哈尔滨六马科技有限公司,企业,理事单位
哈尔滨牧娃鹅业集团有限公司,企业,理事单位
哈尔滨上禾牧业发展有限公司,企业,理事单位
牡丹江新中旭牧业有限公司,企业,理事单位
黑龙江九州大地饲料有限公司,企业,理事单位
黑龙江天兆猪业有限公司,企业,理事单位
哈尔滨市凯弘饲料有限公司,企业,理事单位
双城市庆源牧业有限公司,企业,理事单位
黑龙江北三峡养殖有限公司种禽公司,企业,理事单位
吉林正大畜禽有限公司榆树富民养殖分公司,企业,理事单位
哈尔滨摩天农科兽药有限公司,企业,理事单位
金富康农牧集团,,理事单位
梦溪宠物连锁机构,,理事单位
哈尔滨比酷宠物美容技术学校,,理事单位
哈尔滨宠颐生动物医院管理有限公司,企业,理事单位
北京米乐动物医院有限公司,企业,理事单位
哈尔滨市平房区东海动物医院,,理事单位
哈尔滨宠福旺宠物医院有限公司,企业,理事单位
哈尔滨是南岗区亿宠动物医院,,理事单位
五常市宠爱宠物医院,,理事单位
哈尔滨昌泰小动物医院,,理事单位
哈尔滨卡拉宠物医院,,理事单位
哈尔滨我宠我爱宠物医院,,理事单位
伊春宝宇农业科技有限公司,企业,理事单位
哈尔滨远大牧业有限公司,企业,理事单位
铁力金新农生态农牧有限公司,企业,理事单位
哈尔滨富康牧业有限公司,企业,理事单位
张家口大好河山新农业开发有限公司,企业,理事单位
黑龙江汉世伟食品有限公司,企业,理事单位
北安温氏畜牧有限公司,企业,理事单位
黑龙江德昱成实业有限公司,企业,理事单位
黑龙江益生种禽有限公司,企业,理事单位
瑞派宠物医院管理股份有限公司,企业,理事单位
肇东市鸿泰猪病医院,,理事单位
五常市澳新达养牛专业合作社,,理事单位
