数据源名称,数据源类型,来源,地区,内容说明,网址,备注
辽宁现代制造服务业职业教育集团成立,成立公告,辽宁省教育厅,辽宁省,2020年10月29日发布辽宁现代制造服务业职业教育集团正式成立,https://jyt.ln.gov.cn/jyt/index/gdjy/12F2B0A4B99E4C44A56A70D98FE1B661/index.shtml,
福建省示范性职业教育集团名单,集团名单,福建省教育厅,福建省,2020年12月28日 福建省教育厅关于公布福建省示范性职业教育集团名单的通知,http://jyt.fujian.gov.cn/xxgk/zywj/202012/t20201229_5503308.htm,
杭州市学前教育集团名单,集团名单,浙江省人民政府,浙江省,2021/11/2 杭州市临安区教育局关于公布学前教育集团名单的通知,http://www.linan.gov.cn/art/2021/11/2/art_1413745_59059612.html,
广东省省级优质基础教育集团培育对象名单,集团名单,广东省教育厅,广东省,2021-12-16  关于省级优质基础教育集团培育对象名单的公示,http://edu.gd.gov.cn/zwgknew/gsgg/content/post_3720723.html,
广东省级第二批优质基础教育集团培育对象名单,集团名单,广东省教育厅,广东省,2022-12-05 关于第二批省级优质基础教育集团培育对象名单的公示,http://edu.gd.gov.cn/zwgknew/gsgg/content/post_4057918.html,
河南省100家优质教育集团,集团名单,河南省人民政府,河南省,2022年8月9日 河南省发布的100个首批河南省义务教育阶段优质教育集团，但公示期只有5天，此链接为某公众号相关文字,https://mp.weixin.qq.com/s?__biz=MzI3NzY4NTMzNQ==&mid=2247541229&idx=1&sn=734a662e48e37ffe03b037784302779b&chksm=eb6014d5dc179dc349fc150250dd00b58559b30f0994e3a0f46442fbf5d20e428d981f923590&scene=27,
安徽滁州职业教育集团-成员单位,成员名单,安徽滁州职业教育集团,安徽省,安徽滁州职业教育集团-成员单位,https://www.chzc.edu.cn/acveg/jtgk/cydw.htm,
安徽汽车职业教育集团第三届理事单位、常务理事单位名单,成员名单,安徽省汽车工业学校,安徽省,安徽汽车职业教育集团第三届理事单位、常务理事单位名单,http://www.ahqcedu.com/a/202012/38764.html,
安徽现代城市职业教育集团成员单位,成员名单,安徽城市管理职业学院,安徽省,安徽现代城市职业教育集团成员单位,https://zjjt.cua.edu.cn/2021/0309/c619a22364/page.htm,
北京电子信息职业教育集团理事名单,成员名单,北京电子信息职业教育集团,北京市,北京电子信息职业教育集团理事名单,https://www.bitc.edu.cn/zjfhwz/zzjg/cydw/202103/t20210323_25052.html,
2021年北京电子信息职业教育集团（分委会）专业委员会一览表,管理层名单,北京电子信息职业教育集团,北京市,2021年北京电子信息职业教育集团（分委会）专业委员会一览表,https://www.bitc.edu.cn/zjfhwz/zzjg/jgsz/,
北京交通职业教育集团-成员单位,成员名单,北京交通运输职业学院,北京市,北京交通职业教育集团的成员单位,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,
北京人力资源服务职业教育集团成员单位,成员名单,北京劳动保障职业学院,北京市,北京人力资源服务职业教育集团成员单位,https://www.bvclss.cn/pc/zjjt/detail?sid=362&sonid=373&id=3208,
北京商贸职业教育集团-集团成员,成员名单,北京财贸职业学院,北京市,北京商贸职业教育集团的成员名单,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html,
北京现代服务业职业教育集团-成员名单,成员名单,北京市商业学校,北京市,北京现代服务业职业教育集团的成员名单,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm,
大连市现代服务职业教育集团名单,成员名单,大连商业学校,辽宁省,大连市现代服务职业教育集团名单,http://www.dlxdfw.com/#/detail/341deafcbf764accbe0b9689bd064d9d/business/e117ee70d2ef477fa4340f0e548741fb/78a884c3440a41e88fc39498afca0a72/40e1055fbddb41cbb330f449267cd363,
大连市现代服务职业教育集团-职能委员会,管理层名单,大连商业学校,辽宁省,大连市现代服务职业教育集团-职能委员会,http://www.dlxdfw.com/#/page/341deafcbf764accbe0b9689bd064d9d/06937b5f6f174a76aaf3cf0f9dfd5089,
德州职业教育集团理事会成员单位名单,成员名单,德州职业教育集团,山东省,德州职业教育集团理事会成员单位名单,https://dzzjjt.dzvc.edu.cn/info/1004/1166.htm,
德州职业教育专业（教学）联盟组织人员名单,管理层名单,德州职业教育集团,山东省,德州职业教育专业（教学）联盟组织人员名单,https://dzzjjt.dzvc.edu.cn/info/1004/1106.htm,
东莞新一批70个教育集团授牌,集团名单,东莞松山湖高新技术产业开发区管理委员会,广东省,东莞第二轮集团化办学组建的70个教育集团集体亮相,http://ssl.dg.gov.cn/gkmlpt/content/3/3868/post_3868358.html#323,
鄂南职业教育集团成员单位,成员名单,咸宁职业技术学院,湖北省,鄂南职业教育集团成员单位,https://enzjjt.xnec.cn/view.php?id=204,
吉林省第二批示范性职业教育集团（联盟）培育单位,集团名单,吉林省人民政府,吉林省,关于开展第二批示范性职业教育集团（联盟）培育单位遴选工作的通知  2020年10月27日,http://xxgk.jl.gov.cn/zcbm/fgw_97963/xxgkmlqy/202010/t20201027_7674514.html,
东莞市第二轮中小学校幼儿园教育集团名单,集团名单,东莞市教育局,广东省,广东东莞市教育厅2022-08-16发布的，东莞市第二轮中小学校幼儿园教育集团名单公示,http://edu.dg.gov.cn/jyzx/gsgg/content/post_3859143.html,
广东省级优质教育集团,集团名单,广东省教育厅,广东省,广东省两批省级优质教育集团信息,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27,
