集团名称,牵头单位,主管机构,成员数据来源,链接
丹东市实验小学教育集团,丹东市实验小学,辽宁省，丹东市,教育局官网,https://ddedu.dandong.gov.cn/html/DDJYJ/202104/0163905104219079.html
广州执信中学教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广东实验中学教育集团,,广东省,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广铁一中教育集团,广州市铁一中学,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广东广雅教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广州二中教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广大附中教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
华附教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
华师教育集团,,广东省，广州市,百家号,https://baijiahao.baidu.com/s?id=1739677974237717458&wfr=spider&for=pc
广东实验中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州市玉岩教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州实验教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广雅教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
执信中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
