集团名称,集团类型,主管机构,牵头单位,成员名称,成员类型,黑色数据来源,成员数据来源,链接,其他备注
东莞中学教育集团,基础教育,广东省，东莞市,东莞中学,南城中学,中学,当地教育厅或政府公告,,,
东莞市第一中学教育集团,基础教育,广东省，东莞市,东莞市第一中学,东莞市中堂镇实验中学,中学,当地教育厅或政府公告,,,
东莞市第一中学教育集团,基础教育,广东省，东莞市,东莞市第一中学,东莞市第十一中学,中学,当地教育厅或政府公告,,,
东莞高级中学教育集团,基础教育,广东省，东莞市,东莞高级中学,东莞市清溪中学,中学,当地教育厅或政府公告,,,
东莞中学松山湖学校教育集团,基础教育,广东省，东莞市,东莞中学松山湖学校,东莞市石排中学,中学,当地教育厅或政府公告,,,
东莞中学松山湖学校教育集团,基础教育,广东省，东莞市,东莞中学松山湖学校,东莞市第十三高级中学,中学,当地教育厅或政府公告,,,
东莞中学松山湖学校教育集团,基础教育,广东省，东莞市,东莞中学松山湖学校,东莞市大朗中学,中学,当地教育厅或政府公告,,,
东莞外国语学校教育集团,基础教育,广东省，东莞市,东莞外国语学校,东莞外国语学校东城分校,中学,当地教育厅或政府公告,,,
东莞外国语学校教育集团,基础教育,广东省，东莞市,东莞外国语学校,东莞市滨海湾外国语学校,中学,当地教育厅或政府公告,,,
东莞外国语学校教育集团,基础教育,广东省，东莞市,东莞外国语学校,东莞市寮步外国语学校,中学,当地教育厅或政府公告,,,
东莞外国语学校教育集团,基础教育,广东省，东莞市,东莞外国语学校,东莞市黄江中学,中学,当地教育厅或政府公告,,,
东莞中学初中部教育集团,基础教育,广东省，东莞市,东莞中学初中部,东莞市麻涌镇古梅第一中学,中学,当地教育厅或政府公告,,,
东莞市可园中学教育集团,基础教育,广东省，东莞市,东莞市可园中学,东莞市洪梅中学,中学,当地教育厅或政府公告,,,
东莞市可园中学教育集团,基础教育,广东省，东莞市,东莞市可园中学,东莞市道滘中学,中学,当地教育厅或政府公告,,,
东莞松山湖未来学校教育集团,基础教育,广东省，东莞市,东莞松山湖未来学校,东莞市松山湖实验中学,中学,当地教育厅或政府公告,,,
东莞松山湖未来学校教育集团,基础教育,广东省，东莞市,东莞松山湖未来学校,东莞松山湖实验小学,小学,当地教育厅或政府公告,,,
东莞松山湖未来学校教育集团,基础教育,广东省，东莞市,东莞松山湖未来学校,东莞市松山湖第一小学,小学,当地教育厅或政府公告,,,
东莞市青少年活动中心教育集团,基础教育,广东省，东莞市,东莞市青少年活动中心,东莞松山湖青少年活动中心,中学,当地教育厅或政府公告,,,
东莞市松山湖实验中学教育集团,基础教育,广东省，东莞市,东莞市松山湖实验中学,东莞市东坑中学,中学,当地教育厅或政府公告,,,
东莞市松山湖实验中学教育集团,基础教育,广东省，东莞市,东莞市松山湖实验中学,东莞市东坑镇第三小学,小学,当地教育厅或政府公告,,,
东莞松山湖无痕教育集团,基础教育,广东省，东莞市,东莞松山湖北区学校,东莞松山湖实验小学,小学,当地教育厅或政府公告,,,
东莞松山湖无痕教育集团,基础教育,广东省，东莞市,东莞松山湖北区学校,东莞市松山湖横沥实验学校,中学,当地教育厅或政府公告,,,
东莞松山湖无痕教育集团,基础教育,广东省，东莞市,东莞松山湖北区学校,东莞市大岭山镇第三小学,小学,当地教育厅或政府公告,,,
东莞市石龙第三中学教育集团,基础教育,广东省，东莞市,东莞市石龙第三中学,东莞市石龙镇中心小学,小学,当地教育厅或政府公告,,,
东莞市石龙第三中学教育集团,基础教育,广东省，东莞市,东莞市石龙第三中学,东莞市石龙镇中心小学西湖学校,小学,当地教育厅或政府公告,,,
东莞市中堂中学教育集团,基础教育,广东省，东莞市,东莞市中堂中学,东莞市中堂镇槎滘小学,小学,当地教育厅或政府公告,,,
东莞市望牛墩中学教育集团,基础教育,广东省，东莞市,东莞市望牛墩中学,东莞市望牛墩镇达贤小学,小学,当地教育厅或政府公告,,,
