集团名称,牵头单位,示范性职业教育集团（联盟）培育单位,集团类型,主管机构,成员数据来源,链接,成员名称,成员类型,学校名称,办学层次
联想职业教育集团,联想集团,第一批,职业教育,北京市,北京市教育委员会,http://jw.beijing.gov.cn/jyzx/jyxw/201606/t20160601_637334.html,北京市昌平职业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京铁路电气化学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京地铁技术学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市公共交通高级技工学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京电气工程学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市丰台区职业教育中心学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市商业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京自动化工程学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市房山区第二职业高中,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京怀柔职业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京金隅科技学院,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市外事学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,北京市门头沟区中等职业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,密云区职业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省石家庄市第三职业中专学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省涿州职教中心,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省唐山市第一职业中专学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省唐山市丰南区职业技术教育中心,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省秦皇岛市青龙县职业技术教育中心,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省保定市阜平县职业技术教育中心,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,河北省威县职业技术教育中心,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,内蒙古呼伦贝尔市海拉尔区第一职业学校,中职院校,,
北京交通职业教育集团,北京交通运输职业学院,第一批,职业教育,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm,云南省丽江市民族中等专业学校,中职院校,,
