集团名称,教育集团类型,主管机构,牵头单位,成员名称,成员类型,成员数据来源,链接,备注
全国现代服务业职业教育集团,职业教育,,,PMI中国,社会团体,官网,http://cmsiveg.org/index.aspx,
,,,,安徽城市管理职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,安徽工商职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,安徽国际商务职业教育集团,职教集团,官网,http://cmsiveg.org/index.aspx,
,,,,安徽国际商务职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,澳门市务学会,社会团体,官网,http://cmsiveg.org/index.aspx,
,,,,百色学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,包头服务管理职业学校,院校,官网,http://cmsiveg.org/index.aspx,
,,,,北京安亚中泰教育科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京恒盛鑫源管理咨询有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京华财会计股份有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京华晟经世信息技术有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京华唐中科科技集团有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京汇易仁合教育咨询有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京杰威品牌营销顾问有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京经济管理职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,北京欧华远景教育投资顾问有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京企业管理咨询协会,社会团体,官网,http://cmsiveg.org/index.aspx,
,,,,北京三快在线科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京市商业学校,院校,官网,http://cmsiveg.org/index.aspx,
,,,,北京市现代服务业职业教育集团,职教集团,官网,http://cmsiveg.org/index.aspx,
,,,,北京信达嘉鼎科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京云泽科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京正成科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京智欣联创科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京中科致远科技责任有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京中商汇才教育管理咨询有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,北京卓途教育科技发展有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,彼威达管理咨询（北京）有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,毕节职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,常州机电职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,成都市均衡营养保健技能培训学校,企业,官网,http://cmsiveg.org/index.aspx,
,,,,成都市轻语职业技能培训学院,企业,官网,http://cmsiveg.org/index.aspx,
,,,,滁州职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,达州市达川区银河职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,大连市现代服务职业教育集团,职教集团,官网,http://cmsiveg.org/index.aspx,
,,,,德州职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,东营市东营区职业中等专业学校,院校,官网,http://cmsiveg.org/index.aspx,
,,,,敦煌网,企业,官网,http://cmsiveg.org/index.aspx,
,,,,方圆标志认证集团有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,佛山职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,福州墨尔本理工职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,甘肃钢铁职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,赣南师范大学,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东工贸职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东科贸职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东科学技术职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东农工商职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东轻工职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东生态工程职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东省时尚服装研究院,科研机构,官网,http://cmsiveg.org/index.aspx,
,,,,广东省湛江财贸中等专业学校,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广东邮电职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广西工商职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广西经贸职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广西科技职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广西软实力文化传播有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,广西商业学校,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广西职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广州大学华软软件学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广州科技贸易职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,广州三易品牌管理咨询有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,贵州省毕节市同创职业培训学校有限责任公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,贵州盛华职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,桂林旅游学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,哈尔滨商业大学,院校,官网,http://cmsiveg.org/index.aspx,
,,,,海南蔚之蓝文化传播有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,杭州哲达教育咨询有限公司,企业,官网,http://cmsiveg.org/index.aspx,
,,,,合肥财经职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,河北建材职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,河北女子职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,河北政法职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,黑龙江煤炭职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,黑龙江能源职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,黑龙江农业经济职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,黑龙江信息技术职业学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,湖北交通职业技术学院,院校,官网,http://cmsiveg.org/index.aspx,
,,,,湖北久协教育科技有限公司,企业,官网,http://cmsiveg.org/index.aspx,
