集团名称,主管机构,成员数据来源,链接
全国现代服务业职业教育集团,,官网,http://cmsiveg.org/index.aspx
甘肃省汽车行业职教集团,甘肃省,官网,http://www.lzpcc.edu.cn/qczjjt/jtgk/cydw.htm
咸阳职业教育集团,陕西省，咸阳市,官网,https://zjjt.xianyangzhiyuan.edu.cn/index.htm
汉中职业教育集团,陕西省,,http://jxcg.hzvtc.cn/info/1018/1117.htm
云南省曲靖市麒麟职业教育集团,云南省,,http://www.qjou.cn/channels/385.html
四川建设职业教育集团,四川省,官网,https://zjjt.scac.edu.cn/jtgk/cydw.htm
四川财经职业教育联盟,四川省,官网,https://www.sccjlm.cn/lmgk1/lmjj.htm
泛美航空职业教育集团,四川省,官网,https://www.fanmeiedu.com/Page_1173.html
重庆电子信息职业教育集团,重庆市,官网,http://www.cqit.org/About.asp?ID=12
广西学前教育职业教育集团,广西,官网,https://zjjt.gxyesf.edu.cn/cyfc.htm
南宁市中等职业教育商贸旅游专业集团,广西，南宁,官网,https://jwc.nncvt.edu.cn/info/1293/3170.htm
深圳第一职业教育集团,广东省，深圳市,官网,http://www.szdyzjjt.com/page68
中山市专业镇特色产业职业教育集团,广东省，中山市,官网,https://www.zspt.edu.cn/zszjjt/jtjj/jtcy.htm
湖南现代畜牧养殖职业教育集团,湖南省,官网,http://www.hnxmedu.com/catid/12_1.html
重庆现代服务业职业教育集团,重庆市,官网,http://www.cqxdfwyzjjt.com/main.psp
广东纺织职业教育集团,广东省,官网,https://www.gdpt.edu.cn/al_40/1289
重庆三峡库区医教协同职业教育集团,重庆市,官网,http://zjlm.sxyyc.net/sanxia-portal/view/index.jsp#/home?id=2
