集团名称,主管机构,成员数据来源,链接
联想职业教育集团,北京市,北京市教育委员会,http://jw.beijing.gov.cn/jyzx/jyxw/201606/t20160601_637334.html
北京交通职业教育集团,北京市,北京交通运输职业学院,https://www.bjjt.edu.cn/jthbx1/bjjtzyjyjt/cydw.htm
北京现代服务业职业教育集团,北京市,北京现代服务业职业教育集团,https://zjjt.bjsx.com.cn/jtjj/yxcy.htm
北京商贸职业教育集团,北京市,北京财贸职业学院,https://www.bjczy.edu.cn/folder276/folder546/2022-09-30/NNPh6xkzXLLTJ9WZ.html
北京现代制造业职业教育集团,北京市,,
北京电子信息职教集团,北京市,北京电子信息职业教育集团,https://www.bitc.edu.cn/zjfhwz/zzjg/cydw/202103/t20210323_25052.html
北京人力资源服务职业教育集团,北京市,北京人力资源服务职业教育集团,https://www.bvclss.cn/pc/zjjt/single?sid=362&sonid=374
天津渤海化工职业教育集团,天津市,,
天津城市职业学院职教集团,天津市,,
天津商务职业教育集团,天津市,,
天津卫生职业教育集团,天津市,,
河北省装备制造业职业教育集团,河北省,河北省装备制造职业教育集团,http://ks.hbjd.com.cn/jyjt/article-view-id-178.html
河北省钢铁焦化职业教育集团,河北省,,
河北省曹妃甸工业职业教育集团,河北省，唐山市,,
河北省建材职业教育集团,河北省,,
河北省土木建筑职业教育集团,河北省，石家庄市,河北省土木建筑职业教育集团,http://zyzx.sirt.edu.cn/dynamic/PageFront.jsp
河北省汽车职业教育集团,河北省，邢台市,,
河北省学前教育职业教育集团,河北省,,
山西省装备制造职业教育集团,山西省,,
山西电力职业教育集团,山西省,,
内蒙古机电职业教育集团,内蒙古,内蒙古机电职业教育集团,https://www.nmgjdxy.com/zjjt/jtcy/201912/t20191219_14410.html
辽宁装备制造职业教育集团,辽宁省，沈阳市,,
辽宁铁道交通职业教育集团,辽宁省,,
辽宁建设职业教育集团,辽宁省,,
辽宁仪器仪表职业教育集团,辽宁省,,
辽宁现代服务业职业教育集团,辽宁省,,
辽宁现代农业职教集团,辽宁省,,
辽宁信息技术职业教育集团,辽宁省,,
中国（北方）现代林业职业教育集团,辽宁省,,
吉林交通运输职业教育集团,吉林省,,
吉林铁道职业教育集团,吉林省,,
长春市机电职业教育集团,吉林省，长春市,,
吉林医药职业教育集团,吉林省,,
吉林省汽车行业职业教育集团,吉林省,,
佳木斯职教集团,黑龙江省，佳木斯市,,
黑龙江省现代农业职业教育集团,黑龙江省,,
哈尔滨职业教育集团,黑龙江省，哈尔滨市,,
黑龙江农垦职业教育集团,黑龙江省,,
上海电子信息职业教育集团,上海市,上海电子信息职业教育集团,http://www.sveg.org.cn/col.jsp?id=123
上海建筑职业教育集团,上海市,上海建筑职业教育集团,https://www.scveg.com/Home/Type/type/lmid/4758e79cc50503216556a3c2ea7f733b
上海交通物流职业教育集团,上海市,上海交通物流职业教育集团,http://www.scleg.com.cn/chengyuandanwei/cydw01.html
上海市金山区职业教育集团,上海市,上海市金山区职业教育集团,http://zjjt.jsedu.sh.cn/apps/pages/article/articleDetail.php?articleKey=fd29dc5b0aa90b0b6a06cbf5b2ef965b&KeepThis=true&TB_iframe=true&height=680&width=600
上海商贸职业教育集团,上海市,上海商贸职业教育集团,http://shveg.yhforever.com/about/member.aspx
江苏商贸职业教育集团,江苏省,,
江苏食品职业教育集团,江苏省,江苏食品职业教育集团,https://spzjjt.jsfpc.edu.cn/1538/list.htm
泛长三角港口与航运国际职教集团,江苏省,,
江苏省艺术设计职业教育集团,江苏省，苏州市,,
江苏•发那科数控职业教育集团,江苏省，无锡市,,
江苏纺织服装职教集团,江苏省,,
江苏现代服务业职业教育集团,江苏省,,
江苏电子商务职业教育集团,江苏省，苏州市,,
江苏信息职教集团,江苏省，南京市,江苏信息职教集团,https://zjjt.njcit.cn/cymd/list.htm
机械行业智能制造技术职业教育集团,江苏省，无锡市,,
全国机械行业工业机器人与智能装备职业教育集团,江苏省，常州市,,
中国现代畜牧业职业教育集团,江苏省,中国现代畜牧业职业教育集团,https://www.jsahvc.edu.cn/xqlm/2620/list2.htm
中国现代农业职业教育集团,江苏省,,
江苏化工职业教育集团,江苏省，南京市,江苏化工职业教育集团,https://www.njpi.edu.cn/zjjt/2562/list3.htm
江苏建筑职业教育集团,江苏省,,
浙江省建设职业教育集团,浙江省,,
嘉兴市欣禾职业教育集团,浙江省，嘉兴市,嘉兴市欣禾职业教育集团,http://www.jxveg.org/show.asp?id=138
浙江省现代农业职业教育集团,浙江省，金华市,,
浙江商业职业教育集团,浙江省,,
绍兴市旅游职业教育集团,浙江省，绍兴市,,
湖州市先进制造业职教战略联盟,浙江省,,
