字段名,字段含义,字段类型,可能取值或数据示例
集团名称,教育集团的名称,string,联想职业教育集团
集团类型,教育集团的类型,string,基础教育，职业教育
示范性职业教育集团（联盟）培育单位,集团是否属于示范性职业教育集团培育单位以及对应的批次,string,第一批，第二批
主管机构_省级,教育集团的省级主管机构（如有）,string,北京市
主管机构_市级,教育集团的市级主管机构（如有）,string,广州市
牵头单位,教育集团的牵头单位,string,北京交通运输职业学院
成员名称,集团成员的名称,string,北京铁路电气化学校
成员类型,集团成员的类型,string,职业院校、非职业院校、企事业单位、政府部门、科研院所、行业组织等
成员级别,成员单位在教育集团中的级别,string,理事长单位、副理事长单位、常务理事单位等
成员数据来源,集团成员信息的数据来源,string,北京市教育委员会
链接,集团成员信息的数据来源链接,string,http://jw.beijing.gov.cn/jyzx/jyxw/201606/t20160601_637334.html
