序号,地区,学校名称,招生专业,国家示范院校重点建设专业,原名称
1,北京,北京工业职业技术学院,招生专业,机电一体化技术、安全技术管理 、工程测量技术、通信技术,
2,北京,北京电子科技职业学院,招生专业,数控技术、汽车制造与装配技术、机电一体化技术、计算机网络技术、生物技术及应用、多媒体设计与制作、金融保险,
3,北京,北京农业职业学院,招生专业,园艺技术、畜牧兽医、绿色食品生产与检验,
4,北京,北京财贸职业学院,招生专业,连锁经营管理、 物流管理、导游（国际导游）,
5,天津,天津市职业大学,招生专业,—,天津职业大学
6,天津,天津中德应用技术大学,招生专业,制造技术、航空航天应用技术、自动化技术、汽车应用技术、新材料新能源技术、信息技术、经贸管理、应用语言,天津中德职业技术学院
7,天津,天津医学高等专科学校,招生专业,医学影像技术、康复治疗技术、医疗美容技术、护理,
8,天津,天津电子信息职业技术学院,招生专业,—,
9,上海,上海工艺美术职业学院,招生专业,艺术设计、装潢艺术设计、珠宝首饰工艺与鉴定、旅游工艺品设计与制作,
10,上海,上海旅游高等专科学校,招生专业,,
11,上海,上海健康医学院,招生专业,护理、医学检验技术、口腔医学技术、眼视光技术、药学、医学影像技术,上海医药高等专科学校
12,上海,上海公安学院,招生专业,—,上海公安高等专科学校
13,重庆,重庆工业职业技术学院,招生专业,模具设计与制造、数控技术、酒店管理、汽车检测与维修技术、电气自动化技术,
14,重庆,重庆工程职业技术学院,招生专业,建筑装饰工程技术、矿山机电,
15,重庆,重庆电子工程职业学院,招生专业,微电子技术、信息安全技术、通信技术,
16,河北,河北科技工程职业技术大学,招生专业,建筑工程技术、电气自动化技术、服装设计与加工、汽车检测与维修技术、数控技术、建筑装饰工程技术,邢台职业技术学院
17,河北,河北石油职业技术大学,招生专业,—,承德石油高等专科学校
18,河北,石家庄铁路职业技术学院,招生专业,道路桥梁工程技术、铁道工程技术、工程测量技术、城市轨道交通工程技术,
