序号,地区,学校名称,招生专业,重点建设专业表,备注
1,北京,北京信息职业技术学院,招生专业,软件技术、电子信息工程技术、机电一体化技术,
2,北京,北京劳动保障职业学院,招生专业,劳动与社会保障、人力资源管理、城市管理与监察、城市轨道交通控制,
3,天津,天津交通职业学院,招生专业,物流管理、汽车整形技术、汽车检测与维修技术,
4,天津,天津轻工职业技术学院,招生专业,模具设计与制造、数控设备应用与维护、环境艺术设计,
5,天津,天津现代职业技术学院,招生专业,食品生物技术、环境监测与治理技术、精密机械技术,
6,上海,上海健康医学院,招生专业,医用电子仪器与维护、药剂设备制造与维护、医学影像设备管理与维护,原名单：上海医疗器械高等专科学校
7,上海,上海电子信息职业技术学院,招生专业,应用电子技术、通信技术、计算机网络技术,
8,上海,上海出版印刷高等专科学校,招生专业,印刷技术、印刷图文信息处理、出版与电脑编辑技术、艺术设计,
9,重庆,重庆电力高等专科学校,招生专业,发电厂及电力系统、电厂热能动力装置、供用电技术、工业热工控制技术、电力系统继电保护与自动化,
10,重庆,重庆城市管理职业学院,招生专业,社会工作、社区康复、物流管理、物联网技术与应用,
11,重庆,重庆工商职业学院,招生专业,影视动画、环境艺术设计、软件技术、市场营销,
12,河北,邯郸职业技术学院,招生专业,建筑工程技术、机电一体化技术、装潢设计,
13,河北,河北化工医药职业技术学院,招生专业,生化制药技术、精细化学品生产技术、化工设备与机械、工业分析与检验,
14,河北,唐山工业职业技术学院,招生专业,动车组技术、港口物流管理、陶瓷艺术设计、数控技术、机电设备维修与管理,
15,河北,秦皇岛职业技术学院,招生专业,酒店管理、物流管理、数控技术、计算机应用技术,
16,山西,山西工程职业学院,招生专业,煤矿开采技术、矿井通风与安全、矿山机电、矿山测量、煤炭深加工与利用,原名单：山西煤炭职业技术学院
17,山西,山西工程科技职业大学,招生专业,建筑工程技术、建筑装饰工程技术、建筑电气工程技术、供热通风与空调工程技术、工程造价,原名单：山西建筑职业技术学院
18,山西,山西职业技术学院,招生专业,材料工程技术、电气自动化技术、机电设备维修与管理、数控设备应用与维护,
19,内蒙古,内蒙古化工职业学院,招生专业,煤炭深加工与利用、工业分析与检验、化工设备维修技术、材料工程技术,
20,内蒙古,内蒙古机电职业技术学院,招生专业,机电一体化技术、电力系统自动化、电厂热能动力装置、冶金技术,
21,辽宁,辽宁石化职业技术学院,招生专业,石油化工生产技术、炼油技术、化工设备维修技术、生产过程自动化技术,
22,辽宁,渤海船舶职业学院,招生专业,船舶工程技术、船舶动力装置技术、船舶电气技术,
23,辽宁,辽宁职业学院,招生专业,汽车制造与装配技术、高尔夫俱乐部商务管理、畜牧兽医、园艺技术,
24,吉林,吉林交通职业技术学院,招生专业,工程机械运用与维护、汽车电子技术、工程测量技术、物流管理,
25,黑龙江,哈尔滨铁道职业技术学院,招生专业,高速铁道技术、城市轨道交通工程技术、土木工程检测技术、工程造价、道路桥梁工程技术,
26,黑龙江,黑龙江职业学院,招生专业,城市热能应用技术、电气自动化技术、物流管理,
27,黑龙江,哈尔滨职业技术学院,招生专业,电气自动化技术、道路桥梁工程、模具设计与制造、焊接技术与自动化,
28,江苏,江苏农牧科技职业学院,招生专业,畜牧兽医、动物防疫与检疫、兽药生产与营销、食品营养与检测,
29,江苏,江苏航运职业技术学院,招生专业,航海技术、轮机工程技术、船舶工程技术、港口物流设备与自动控制,原名单：南通航运职业技术学院
30,江苏,常州机电职业技术学院,招生专业,数控设备应用与维护、模具设计与制造、农业机械应用技术、电气自动化技术,
31,江苏,苏州工艺美术职业技术学院,招生专业,装饰艺术设计、室内设计技术、广告媒体技术,
32,江苏,南京科技职业学院,招生专业,精细化学品生产技术、化工装备技术、生产过程自动化技术、环境监测与治理技术、物流管理,
33,江苏,南京信息职业技术学院,招生专业,通信技术、软件技术、光电子技术、物联网工程技术,
34,江苏,江苏经贸职业技术学院,招生专业,电子商务、物流管理、连锁经营管理、老年服务与管理,
35,江苏,江苏食品药品职业技术学院,招生专业,食品加工技术、生物技术及应用、烹饪工艺与营养、市场营销,
36,浙江,浙江经济职业技术学院,招生专业,物流管理、汽车检测与维修技术、计算机信息管理、电子商务,
