序号,学校名称,轮次,类别
1,北京大学,第一轮,A类
2,北京师范大学,第一轮,A类
3,哈尔滨工业大学,第一轮,A类
4,东南大学,第一轮,A类
5,中国海洋大学,第一轮,A类
6,华南理工大学,第一轮,A类
7,中国人民大学,第一轮,A类
8,中央民族大学,第一轮,A类
9,复旦大学,第一轮,A类
10,浙江大学,第一轮,A类
11,武汉大学,第一轮,A类
12,四川大学,第一轮,A类
13,清华大学,第一轮,A类
14,南开大学,第一轮,A类
15,同济大学,第一轮,A类
16,中国科学技术大学,第一轮,A类
17,华中科技大学,第一轮,A类
18,重庆大学,第一轮,A类
19,北京航空航天大学,第一轮,A类
20,天津大学,第一轮,A类
21,上海交通大学,第一轮,A类
22,厦门大学,第一轮,A类
23,中南大学,第一轮,A类
24,电子科技大学,第一轮,A类
25,北京理工大学,第一轮,A类
26,大连理工大学,第一轮,A类
27,华东师范大学,第一轮,A类
28,山东大学,第一轮,A类
29,中山大学,第一轮,A类
30,西安交通大学,第一轮,A类
31,中国农业大学,第一轮,A类
32,吉林大学,第一轮,A类
33,南京大学,第一轮,A类
34,兰州大学,第一轮,A类
35,国防科技大学,第一轮,A类
36,西北工业大学,第一轮,A类
37,东北大学,第一轮,B类
38,郑州大学,第一轮,B类
39,湖南大学,第一轮,B类
40,云南大学,第一轮,B类
41,西北农林科技大学,第一轮,B类
42,新疆大学,第一轮,B类
