序号,学校名称
1,西南大学
2,哈尔滨工程大学
3,哈尔滨工业大学（深圳）
4,南方科技大学
5,清华大学
6,北京大学
7,浙江大学
8,上海交通大学
9,复旦大学
10,南京大学
11,中国科学技术大学
12,华中科技大学
13,武汉大学
14,西安交通大学
15,四川大学
16,中山大学
17,哈尔滨工业大学
18,同济大学
19,北京航空航天大学
20,东南大学
21,北京师范大学
22,北京理工大学
23,中国人民大学
24,南开大学
25,天津大学
26,北京协和医学院
27,山东大学
28,中南大学
29,西北工业大学
30,华南理工大学
31,厦门大学
32,吉林大学
33,华东师范大学
34,中国农业大学
35,电子科技大学
36,大连理工大学
37,湖南大学
38,南京理工大学
39,上海财经大学
40,重庆大学
41,北京科技大学
42,南京航空航天大学
43,兰州大学
44,东北大学
45,北京交通大学
46,西安电子科技大学
47,华中农业大学
48,苏州大学
49,东北师范大学
50,中央财经大学
51,华东理工大学
52,上海大学
53,中国政法大学
54,暨南大学
55,对外经济贸易大学
56,中国石油大学（北京）
57,南京农业大学
58,华中师范大学
59,郑州大学
60,西南交通大学
61,中国矿业大学
62,南京医科大学
63,上海科技大学
64,武汉理工大学
65,中国海洋大学
66,中国地质大学（武汉）
67,江南大学
68,河海大学
69,南京师范大学
70,北京邮电大学
71,北京工业大学
72,北京化工大学
73,中国石油大学（华东）
74,中南财经政法大学
75,西北大学
76,天津医科大学
77,中国地质大学（北京）
78,陕西师范大学
79,福州大学
80,西南财经大学
81,西北农林科技大学
82,南昌大学
83,华北电力大学
84,中国矿业大学（北京）
85,华南师范大学
86,东华大学
87,北京外国语大学
88,北京林业大学
89,云南大学
90,合肥工业大学
91,宁波大学
92,北京中医药大学
93,首都师范大学
94,湖南师范大学
95,长安大学
96,华南农业大学
97,南京邮电大学
98,中国传媒大学
99,安徽大学
100,河南大学
101,上海外国语大学
102,南京信息工程大学
103,中国药科大学
104,上海中医药大学
105,广西大学
106,广州医科大学
107,中央民族大学
108,河北工业大学
109,湘潭大学
110,南京林业大学
111,大连海事大学
112,山西大学
113,太原理工大学
114,东北林业大学
115,东北农业大学
116,内蒙古大学
117,外交学院
118,贵州大学
119,辽宁大学
120,西南石油大学
121,海南大学
122,南京中医药大学
123,四川农业大学
124,广州中医药大学
125,石河子大学
126,新疆大学
127,天津工业大学
128,宁夏大学
129,上海体育学院
130,上海海洋大学
131,天津中医药大学
132,成都理工大学
133,青海大学
134,延边大学
135,西藏大学
136,成都中医药大学
137,北京体育大学
138,中国人民公安大学
139,国防科技大学
140,山东大学（威海）
141,东北大学秦皇岛分校
142,华北电力大学保定校区
143,海军军医大学
144,哈尔滨工业大学（威海）
145,空军军医大学
146,北京大学医学部
147,上海交通大学医学院
148,上海音乐学院
149,中国科学院大学
150,中央戏剧学院
151,中央美术学院
152,中国美术学院
153,中央音乐学院
154,中国石油大学（北京）克拉玛依校区
155,中国人民大学（苏州校区）
156,大连理工大学盘锦校区
157,西南财经大学特拉华数据科学学院
158,中国音乐学院
159,合肥工业大学宣城校区
160,复旦大学上海医学院
161,电子科技大学格拉斯哥学院
162,浙江大学医学院
163,西南大学西塔学院
164,贵州大学北阿拉巴马国际工程技术学院
