序号,学校名称
1,四川工程职业技术学院
2,四川交通职业技术学院
3,江西外语外贸职业学院
4,河北科技工程职业技术大学
5,河北工业职业技术大学
6,兰州石化职业技术大学
7,河北石油职业技术大学
8,兰州资源环境职业技术大学
9,日照职业技术学院
10,重庆医药高等专科学校
11,武汉职业技术学院
12,陕西能源职业技术学院
13,成都职业技术学院
14,天津市职业大学
15,山东职业学院
16,山东商业职业技术学院
17,深圳职业技术学院
18,成都航空职业技术学院
19,河南职业技术学院
20,河南交通职业技术学院
21,河南工业职业技术学院
22,湖南工艺美术职业学院
23,重庆工程职业技术学院
24,威海职业学院
25,内蒙古化工职业学院
26,重庆电子工程职业学院
27,南京铁道职业技术学院
28,武汉铁路职业技术学院
29,淄博职业学院
30,广州民航职业技术学院
31,郑州铁路职业技术学院
32,石家庄铁路职业技术学院
33,重庆三峡医药高等专科学校
34,无锡职业技术学院
35,四川邮电职业技术学院
36,四川建筑职业技术学院
37,西安航空职业技术学院
38,成都纺织高等专科学校
39,哈尔滨铁道职业技术学院
40,广州铁路职业技术学院
41,黑龙江职业学院
42,山东交通职业学院
43,青岛酒店管理职业技术学院
44,济南职业学院
45,九江职业技术学院
46,顺德职业技术学院
47,广州番禺职业技术学院
48,安徽医学高等专科学校
49,山东科技职业学院
50,天津医学高等专科学校
51,滨州职业学院
52,长沙民政职业技术学院
53,苏州农业职业技术学院
54,广东轻工职业技术学院
55,陕西职业技术学院
56,昆明冶金高等专科学校
57,深圳信息职业技术学院
58,芜湖职业技术学院
59,青岛职业技术学院
60,北京信息职业技术学院
61,石家庄邮电职业技术学院
62,广东机电职业技术学院
63,黎明职业大学
64,成都农业科技职业学院
65,山东畜牧兽医职业学院
66,安徽水利水电职业技术学院
67,广东科学技术职业学院
68,江苏建筑职业技术学院
69,北京电子科技职业学院
70,陕西国防工业职业技术学院
71,湖北交通职业技术学院
72,秦皇岛职业技术学院
73,常州信息职业技术学院
74,重庆工业职业技术学院
75,湖南铁道职业技术学院
76,黑龙江建筑职业技术学院
77,浙江金融职业学院
78,烟台职业学院
79,广东工贸职业技术学院
80,北京工业职业技术学院
81,湖北职业技术学院
82,吉林铁道职业技术学院
83,贵州交通职业技术学院
84,河北化工医药职业技术学院
85,黄河水利职业技术学院
86,北京财贸职业学院
87,湖南化工职业技术学院
88,南宁职业技术学院
89,江苏海事职业技术学院
90,重庆工商职业学院
91,武汉船舶职业技术学院
92,天津电子信息职业技术学院
93,重庆城市管理职业学院
94,广东水利电力职业技术学院
95,东营职业学院
96,沧州医学高等专科学校
97,潍坊职业学院
98,长沙商贸旅游职业技术学院
99,江西财经职业学院
100,金华职业技术学院
101,山西职业技术学院
102,上海工艺美术职业学院
103,杨凌职业技术学院
104,辽宁省交通高等专科学校
105,重庆电力高等专科学校
106,江苏航运职业技术学院
107,哈尔滨职业技术学院
108,无锡商业职业技术学院
109,苏州工业职业技术学院
110,陕西工业职业技术学院
111,长春汽车工业高等专科学校
112,江苏经贸职业技术学院
113,天津交通职业学院
114,黑龙江农业工程职业学院
115,海南经贸职业技术学院
116,内蒙古机电职业技术学院
117,柳州职业技术学院
118,长沙航空职业技术学院
119,浙江建设职业技术学院
120,重庆航天职业技术学院
121,天津现代职业技术学院
122,陕西铁路工程职业技术学院
123,宁波职业技术学院
124,襄阳职业技术学院
125,南京信息职业技术学院
126,浙江旅游职业学院
127,天津轻工职业技术学院
128,福建船政交通职业学院
129,新疆轻工职业技术学院
130,石家庄职业技术学院
131,山西省财政税务专科学校
132,黄冈职业技术学院
133,江苏食品药品职业技术学院
134,唐山工业职业技术学院
135,沈阳职业技术学院
136,广东食品药品职业学院
137,福建信息职业技术学院
138,广西建设职业技术学院
139,湖南生物机电职业技术学院
140,江苏农牧科技职业学院
141,安徽商贸职业技术学院
142,浙江商业职业技术学院
143,辽宁经济职业技术学院
144,常州工程职业技术学院
145,江西应用技术职业学院
146,吉林交通职业技术学院
147,广西职业技术学院
148,铜仁职业技术学院
149,内蒙古建筑职业技术学院
150,徐州工业职业技术学院
151,北京劳动保障职业学院
152,江苏工程职业技术学院
153,重庆三峡职业学院
154,湖南工业职业技术学院
155,温州职业技术学院
156,咸阳职业技术学院
157,新疆农业职业技术学院
158,山西工程职业学院
159,中山火炬职业技术学院
160,北京农业职业学院
161,杭州职业技术学院
162,贵州轻工职业技术学院
163,天津渤海职业技术学院
164,浙江经贸职业技术学院
165,浙江警官职业学院
166,长春职业技术学院
167,北京交通运输职业学院
168,浙江工贸职业技术学院
169,辽宁农业职业技术学院
170,南通职业大学
171,安徽机电职业技术学院
172,江苏农林职业技术学院
173,福州职业技术学院
174,苏州工艺美术职业技术学院
175,浙江机电职业技术学院
176,江西交通职业技术学院
177,东莞职业技术学院
178,浙江交通职业技术学院
179,浙江经济职业技术学院
180,漳州职业技术学院
181,黑龙江农业经济职业学院
182,酒泉职业技术学院
183,江西环境工程职业学院
184,许昌职业技术学院
185,河南农业职业学院
186,武汉电力职业技术学院
187,湖南汽车工程职业学院
188,山西机电职业技术学院
189,渤海船舶职业学院
190,浙江艺术职业学院
191,岳阳职业技术学院
192,昆明工业职业技术学院
193,常州机电职业技术学院
194,辽宁机电职业技术学院
195,云南机电职业技术学院
196,宁夏工商职业技术学院
197,宁夏职业技术学院
