学校名称,工程科学类_带星号,工程科学类,社会科学类_带星号,社会科学类,生命科学类_带星号,生命科学类,人文科学类_带星号,人文科学类,自然科学类_带星号,自然科学类,办学特色强化类_带星号,办学特色强化类,国防军事类_带星号,国防军事类,科教融合类_带星号,科教融合类,区域振兴类_带星号,区域振兴类,师范类_带星号,师范类,统一战线工作、对外联络和政法类_带星号,统一战线工作、对外联络和政法类
北京大学,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
清华大学,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
复旦大学,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
上海交通大学,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
中南大学,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京邮电大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京科技大学,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中国农业大学,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南开大学,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
天津大学,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
天津工业大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
同济大学,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华东理工大学,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
东华大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京大学,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
东南大学,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中国矿业大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京邮电大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河海大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江南大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南京林业大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江大学,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
中国科学技术大学,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
中国石油大学（华东）,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武汉大学,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
华中科技大学,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中国地质大学（武汉）,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武汉理工大学,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
