序号,学校名称,共建部门,985工程期数,协议签署时间,实力梯队
1,北京大学,教育部、北京市,一期,1999.7,1
2,清华大学,教育部、北京市,一期,1999.7,1
3,复旦大学,教育部、上海市,一期,1999.7,2
4,南京大学,教育部、江苏省,一期,1999.7,2
5,上海交通大学,教育部、上海市,一期,1999.7,2
6,中国科学技术大学,教育部、中国科学院、安徽省,一期,1999.7,2
7,西安交通大学,教育部、陕西省,一期,1999.9,3
8,浙江大学,教育部、浙江省,一期,1999.11,2
9,哈尔滨工业大学,工业与信息化部、教育部、黑龙江省,一期,1999.11,3
10,北京理工大学,工业与信息化部、教育部、北京市,一期,2000.9,3
11,南开大学,教育部、天津市,一期,2000.12,3
12,天津大学,教育部、天津市,一期,2000.12,4
13,华南理工大学,教育部、广东省,一期,2001.1,5
14,中山大学,教育部、广东省,一期,2001.1,4
15,山东大学,教育部、山东省,一期,2001.2,5
16,华中科技大学,教育部、湖北省、武汉市,一期,2001.2,3
17,吉林大学,教育部、吉林省,一期,2001.2,5
18,厦门大学,教育部、福建省、厦门市,一期,2001.2,4
19,武汉大学,教育部、湖北省,一期,2001.2,3
20,东南大学,教育部、江苏省,一期,2001.2,4
21,中国海洋大学,教育部、山东省、国家海洋局、青岛市,一期,2001.2,6
22,湖南大学,教育部、工业与信息化部、湖南省,一期,2001.2,5
23,中南大学,教育部、工业与信息化部、湖南省,一期,2001.2,5
24,西北工业大学,工信部、教育部、陕西省、西安市,一期,2001.4,4
25,大连理工大学,教育部、辽宁省、大连市,一期,2001.8,5
26,四川大学,教育部、四川省,一期,2001.9,5
27,电子科技大学,教育部、工业与信息化部、四川省、成都市,一期,2001.9,4
28,重庆大学,教育部、重庆市,一期,2001.9,5
29,北京航空航天大学,工业与信息化部、教育部、北京市,一期,2001.9,3
30,兰州大学,教育部、甘肃省,一期,2001.12,6
31,东北大学,教育部、辽宁省、沈阳市,一期,2002.1,6
32,同济大学,教育部、上海市,一期,2002.6,3
33,北京师范大学,教育部、北京市,一期,2002.8,4
34,中国人民大学,教育部、北京市,一期,2003.9,2
35,中国农业大学,教育部、北京市、农业部,二期,2004,5
36,国防科学技术大学,中央军委、长沙市,二期,2006,3
37,西北农林科技大学,教育部、陕西省,二期,2004,6
38,中央民族大学,国家民族事务委员会、教育部、北京市,二期,2004,6
39,华东师范大学,教育部、上海市,二期,2006,5
