学校名称,办学层次,学校性质,学校类别,主管部门,所在省份,所在城市,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程
北京工业大学,普通本科,公办,理工类,北京市,北京,北京市,1960,"平乐园校区：北京市朝阳区平乐园100号,通州校区：北京市通州区潞苑南大街89号",http://www.bjut.edu.cn/,"bjut,北工大,北京工业",,1440,2,1
北京大学,普通本科,公办,综合类,教育部,北京,北京市,1898,北京市海淀区颐和园路5号,https://www.pku.edu.cn//,"pku,北大",,7000,1,1
内蒙古大学,普通本科,公办,综合类,内蒙古自治区,内蒙古,呼和浩特市,1957,"北校区：内蒙古自治区呼和浩特市赛罕区大学西街235号,南校区：内蒙古自治区呼和浩特市玉泉区昭君路24号,满洲里校区：内蒙古自治区满洲里市华埠大街1号",http://www.imu.edu.cn/,内大,,4101,2,1
大连海事大学,普通本科,公办,理工类,交通运输部,辽宁,大连市,1909,辽宁省大连市凌海路1号,https://www.dlmu.edu.cn/,"大连海事,DMU,大连海大",大连海运学院,2040,2,1
哈尔滨工业大学,普通本科,公办,理工类,工业和信息化部,黑龙江,哈尔滨市,1920,黑龙江省哈尔滨市南岗区西大直街92号,http://www.hit.edu.cn,"哈尔滨工大,hit,哈工大",,5212,1,1
云南大学,普通本科,公办,综合类,云南省,云南,昆明市,1922,"东陆校区：云南省昆明市翠湖北路2号,呈贡校区：云南省昆明市呈贡区大学城东外环南路",http://www.ynu.edu.cn/,云大,,4367,2,1
长安大学,普通本科,公办,理工类,教育部,陕西,西安市,1951,"北校区：陕西省西安市未央区尚苑路,南校区：陕西省西安市南二环路中段",http://www.chd.edu.cn/,,,3745,2,1
西北大学,普通本科,公办,综合类,陕西省,陕西,西安市,1902,"长安校区：陕西省西安市长安区郭杜教育科技产业区学府大道1号,太白校区：陕西省西安市太白北路229号,桃园校区：陕西省西安市高新四路155号",http://www.nwu.edu.cn/,NWU,国立西北大学,2360,2,1
北京交通大学,普通本科,公办,理工类,教育部,北京,北京市,1896,北京市海淀区西直门外上园村3号,https://www.bjtu.edu.cn/,"北京交大,BJTU,北交大,北交",,1000,2,1
北京外国语大学,普通本科,公办,语言类,教育部,北京,北京市,1941,北京市海淀区西三环北路2号,http://www.bfsu.edu.cn/,"北京外国语学院,北外,BFSU",,770,2,1
中央音乐学院,普通本科,公办,艺术类,教育部,北京,北京市,1949,北京市西城区鲍家街43号,http://www.ccom.edu.cn/,"央音,CCOM",,82,2,1
河北工业大学,普通本科,公办,理工类,河北省,天津,天津市,1903,天津市北辰区西平道5340号,http://www.hebut.edu.cn/,"河北工大,河工大,HEBUT",,4000,2,1
武汉大学,普通本科,公办,综合类,教育部,湖北,武汉市,1893,湖北省武汉市武昌区八一路299号,http://www.whu.edu.cn/,"武大,WHU",,5195,1,1
北京林业大学,普通本科,公办,农林类,教育部,北京,北京市,1952,北京市海淀区清华东路35号,http://www.bjfu.edu.cn/,北林,,13176,2,1
湖南大学,普通本科,公办,综合类,教育部,湖南,长沙市,1926,湖南省长沙市岳麓区麓山南路麓山门,http://www.hnu.edu.cn/,"hnu,湖大",,3615,1,1
中央民族大学,普通本科,公办,民族类,国家民委,北京,北京市,1941,北京市海淀区中关村南大街27号,https://www.muc.edu.cn/,中央民大,,570,1,1
中国人民大学,普通本科,公办,综合类,教育部,北京,北京市,1937,北京市海淀区中关村大街59号,https://www.ruc.edu.cn,"人民大学,人大",,7500,1,1
北京航空航天大学,普通本科,公办,理工类,工业和信息化部,北京,北京市,1952,"学院路校区：北京市海淀区学院路37号,沙河校区：北京市昌平区沙河高教园区",https://www.buaa.edu.cn/,"北京航天航空大学,中国航空航天大学,北航,BUAA",,3000,1,1
北京邮电大学,普通本科,公办,理工类,教育部,北京,北京市,1955,北京市西土城路10号,http://www.bupt.edu.cn,"bupt,北邮",北京邮电学院,693,2,1
北京中医药大学,普通本科,公办,医药类,教育部,北京,北京市,1956,北京市朝阳区北三环东路11号,http://www.bucm.edu.cn/,"北京中医,北中医",,1625,2,1
辽宁大学,普通本科,公办,综合类,辽宁省,辽宁,沈阳市,1948,"沈阳崇山校区：辽宁省沈阳市皇姑区崇山中路66号,沈阳蒲河校区：辽宁省沈阳市沈北新区道义南大街58号",http://www.lnu.edu.cn,"lnu,辽大",,2222,2,1
