数据源名称,数据源类型,来源,地区,内容说明,网址
全国高等学校名单,学校名单,中华人民共和国教育部,全国,全国普通高等学校名单；全国成人高等学校名单；数据截至2022年5月31日,http://www.moe.gov.cn/jyb_xxgk/s5743/s5744/A03/202206/t20220617_638352.html
全国高等学校名单查询,学校名单,中华人民共和国教育部,全国,《全国高等学校名单》于2022年6月17日发布。本名单未包含港澳台地区高等学校,https://hudong.moe.gov.cn/qggxmd/
掌上高考院校大全,综合信息,掌上高考,全国,全国各高校的综合信息，包括：院校所属、院校类型、办学类型、院校特色等,https://www.gaokao.cn/school/search
中国教育在线大学信息查询,分类名单,中国教育在线,全国,正规大学名单，985、211、双一流、中央部委直属等各类学校名单,https://www.zhijiao.cn/mingdan.shtml
河北省省属普通高校,学校名单,河北省教育厅,河北省,河北省教育厅各省属普通高校官网链接,http://jyt.hebei.gov.cn/col/1405654075832/index.html
山西省本科院校网站,学校名单,山西省教育厅,山西省,山西省本科院校网站汇总,http://jyt.shanxi.gov.cn/wzgl/yqlj/bkyx/
山西省高职高专网站,学校名单,山西省教育厅,山西省,山西省高职高专网站汇总,http://jyt.shanxi.gov.cn/wzgl/yqlj/gzgz1/
黑龙江省普通高校网站,学校名单,黑龙江省教育厅,黑龙江省,黑龙江省普通高校网站汇总,http://jyt.hlj.gov.cn/index
江苏省普通高等学校名单,学校名单,江苏省教育厅,江苏省,江苏省普通高等学校名单,http://jyt.jiangsu.gov.cn/art/2021/12/21/art_77627_10220590.html
江苏省成人高等学校名单,学校名单,江苏省教育厅,江苏省,江苏省成人高等学校名单,http://jyt.jiangsu.gov.cn/art/2021/2/23/art_77627_9060612.html
浙江省高等院校网站,学校名单,浙江省教育厅,浙江省,浙江省高等院校网站汇总,http://jyt.zj.gov.cn/
安徽省高等院校网站,学校名单,安徽省教育厅,安徽省,安徽省高等院校网站汇总,http://jyt.ah.gov.cn/site/tpl/1018300682
2020-2021学年度福建高校信息公开年度报告,学校名单,福建省教育厅办公室,福建省,2020-2021学年度福建高校信息公开年度报告,http://jyt.fujian.gov.cn/xxgk/zfxxgkzl/zfxxgkndbg/202111/t20211130_5783880.htm
江西省内高校网站,学校名单,江西教育网,江西省,江西省内高校网站汇总,http://jyt.jiangxi.gov.cn/art/2020/7/30/art_25825_1487646.html
山东高校网站,学校名单,山东省教育厅,山东省,山东高校网站汇总,http://edu.shandong.gov.cn/col/col13331/index.html
2022年河南省具有普通高等学历教育招生资格学校名单,学校名单,河南省教育厅,河南省,2022年河南省具有普通本专科招生资格和五年一贯制高职、“3+2”分段制高职招生资格名单,http://jyt.henan.gov.cn/2022/06-09/2464845.html
湖北省2018年具备招生资格的高等学校（机构）名单,学校名单,湖北省教育厅,湖北省,湖北省2018年普通本专科高校名单，成人高等学校名单，高等教育非学历机构名单,http://jyt.hubei.gov.cn/bsfw/bmcxfw/hbgxmd/201911/t20191108_464538.shtml
湖南省本科院校网站,学校名单,湖南省教育厅,湖南省,湖南省本科院校官网链接汇总,http://jyt.hunan.gov.cn/jyt/sjyt/fzlm/dbdh/bkyx/list_bkyx.html
湖南省高职高专网站,学校名单,湖南省教育厅,湖南省,湖南省高职高专官网链接汇总,http://jyt.hunan.gov.cn/jyt/sjyt/fzlm/dbdh/gzgz/list_gzgz.html
广东省各级学校信息查询,学校名单,广东省教育厅,广东省,广东省中等职业学校、幼儿园、小学、特殊教育学校、普通高中、普通高等学校、普通初中、工读学校的基本信息查询,http://edu.gd.gov.cn/xuexiaochaxun/list.do?action=index&xxxlb_m=34
海南省高等院校和中等专业学校网站,学校名单,海南省教育厅,海南省,海南省高等院校和中等专业学校网站汇总,http://edu.hainan.gov.cn/edu/index.shtml
四川省地方直属高校,学校名单,四川省教育厅,四川省,四川省地方直属高校名单,http://edu.sc.gov.cn/scedu/c109686/zsgx.shtml
贵州省高等教育学校一览表,学校名单,贵州省教育厅,贵州省,贵州省高等学校名单,https://jyt.guizhou.gov.cn/zxfw/bmlqfw/xxjjgcx/gdjyxxylb/
贵州省职业教育机构一览表,学校名单,贵州省教育厅,贵州省,贵州省职业教育机构一览表,https://jyt.guizhou.gov.cn/zxfw/bmlqfw/xxjjgcx/zyjyjgylb/
贵州省继续教育机构一览表,学校名单,贵州省教育厅,贵州省,贵州省高等学历继续教育站点名单,https://jyt.guizhou.gov.cn/zxfw/bmlqfw/xxjjgcx/jxjyjgylb/
贵州省特殊教育机构一览表,学校名单,贵州省教育厅,贵州省,贵州省特殊教育学校一览表,https://jyt.guizhou.gov.cn/zxfw/bmlqfw/xxjjgcx/tsjyjgylb/
