学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
北京大学,4111010001.0,教育部,北京市,北京市,本科,公办
中国人民大学,4111010002.0,教育部,北京市,北京市,本科,公办
清华大学,4111010003.0,教育部,北京市,北京市,本科,公办
北京交通大学,4111010004.0,教育部,北京市,北京市,本科,公办
北京工业大学,4111010005.0,北京市,北京市,北京市,本科,公办
北京航空航天大学,4111010006.0,工业和信息化部,北京市,北京市,本科,公办
北京理工大学,4111010007.0,工业和信息化部,北京市,北京市,本科,公办
北京科技大学,4111010008.0,教育部,北京市,北京市,本科,公办
北方工业大学,4111010009.0,北京市,北京市,北京市,本科,公办
北京化工大学,4111010010.0,教育部,北京市,北京市,本科,公办
北京工商大学,4111010011.0,北京市,北京市,北京市,本科,公办
北京服装学院,4111010012.0,北京市,北京市,北京市,本科,公办
北京邮电大学,4111010013.0,教育部,北京市,北京市,本科,公办
北京印刷学院,4111010015.0,北京市,北京市,北京市,本科,公办
北京建筑大学,4111010016.0,北京市,北京市,北京市,本科,公办
北京石油化工学院,4111010017.0,北京市,北京市,北京市,本科,公办
北京电子科技学院,4111010018.0,中央办公厅,北京市,北京市,本科,公办
中国农业大学,4111010019.0,教育部,北京市,北京市,本科,公办
北京农学院,4111010020.0,北京市,北京市,北京市,本科,公办
北京林业大学,4111010022.0,教育部,北京市,北京市,本科,公办
北京协和医学院,4111010023.0,国家卫生健康委员会,北京市,北京市,本科,公办
首都医科大学,4111010025.0,北京市,北京市,北京市,本科,公办
北京中医药大学,4111010026.0,教育部,北京市,北京市,本科,公办
北京师范大学,4111010027.0,教育部,北京市,北京市,本科,公办
首都师范大学,4111010028.0,北京市,北京市,北京市,本科,公办
首都体育学院,4111010029.0,北京市,北京市,北京市,本科,公办
北京外国语大学,4111010030.0,教育部,北京市,北京市,本科,公办
北京第二外国语学院,4111010031.0,北京市,北京市,北京市,本科,公办
北京语言大学,4111010032.0,教育部,北京市,北京市,本科,公办
中国传媒大学,4111010033.0,教育部,北京市,北京市,本科,公办
中央财经大学,4111010034.0,教育部,北京市,北京市,本科,公办
对外经济贸易大学,4111010036.0,教育部,北京市,北京市,本科,公办
北京物资学院,4111010037.0,北京市,北京市,北京市,本科,公办
首都经济贸易大学,4111010038.0,北京市,北京市,北京市,本科,公办
中国消防救援学院,4111010039.0,应急管理部,北京市,北京市,本科,公办
外交学院,4111010040.0,外交部,北京市,北京市,本科,公办
中国人民公安大学,4111010041.0,公安部,北京市,北京市,本科,公办
国际关系学院,4111010042.0,教育部,北京市,北京市,本科,公办
北京体育大学,4111010043.0,国家体育总局,北京市,北京市,本科,公办
中央音乐学院,4111010045.0,教育部,北京市,北京市,本科,公办
中国音乐学院,4111010046.0,北京市,北京市,北京市,本科,公办
中央美术学院,4111010047.0,教育部,北京市,北京市,本科,公办
中央戏剧学院,4111010048.0,教育部,北京市,北京市,本科,公办
中国戏曲学院,4111010049.0,北京市,北京市,北京市,本科,公办
北京电影学院,4111010050.0,北京市,北京市,北京市,本科,公办
北京舞蹈学院,4111010051.0,北京市,北京市,北京市,本科,公办
中央民族大学,4111010052.0,国家民委,北京市,北京市,本科,公办
中国政法大学,4111010053.0,教育部,北京市,北京市,本科,公办
华北电力大学,4111010054.0,教育部,北京市,北京市,本科,公办
中华女子学院,4111011149.0,中华妇女联合会,北京市,北京市,本科,公办
北京信息科技大学,4111011232.0,北京市,北京市,北京市,本科,公办
中国矿业大学（北京）,4111011413.0,教育部,北京市,北京市,本科,公办
中国石油大学（北京）,4111011414.0,教育部,北京市,北京市,本科,公办
中国地质大学（北京）,4111011415.0,教育部,北京市,北京市,本科,公办
北京联合大学,4111011417.0,北京市,北京市,北京市,本科,公办
北京城市学院,4111011418.0,北京市教委,北京市,北京市,本科,民办
中国青年政治学院,4111011625.0,共青团中央,北京市,北京市,本科,公办
