学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质,985工程_加入时间,985工程_入选批次,985工程_共建部门,985工程_期数,985工程_协议签署时间,985工程_实力梯队,双一流建设,双一流建设_第一轮,双一流建设_第一轮_类别,双一流建设_第二轮,双一流建设_第二轮_学科名单,骨干高职,骨干高职_重点建设专业,示范性高职,示范性高职_重点建设专业,教育部直属,中央部委直属,强基计划,双高计划,学校类别,创建时间,学校地址,学校官网,学校简称,曾用名,占地面积（亩）,985工程,211工程,预算总收入（亿元，2022年）,本年度收入（亿元，2022年）,财政拨款数（亿元，2022年）,财政拨款占比（2022年）,人工补全记录
北京大学,4111010001.0,教育部,北京市,北京市,本科,公办,1998年5月,首批9所（C9联盟）,教育部、北京市,一期,1999.7,1.0,1.0,1.0,A类,1.0,（自主确定建设学科并自行公布）,0.0,,0.0,,1.0,0.0,1.0,0.0,综合类,1898.0,北京市海淀区颐和园路5号,https://www.pku.edu.cn//,"pku,北大",,7000.0,1.0,1.0,219.29,160.1,51.72,0.2359,
中国人民大学,4111010002.0,教育部,北京市,北京市,本科,公办,2003年9月,首期第二批共26所,教育部、北京市,一期,2003.9,2.0,1.0,1.0,A类,1.0,哲学、理论经济学、应用经济学、法学、政治学、社会学、马克思主义理论、新闻传播学、中国史、统计学、工商管理、农林经济管理、公共管理、图书情报与档案管理,0.0,,0.0,,1.0,0.0,1.0,0.0,综合类,1937.0,北京市海淀区中关村大街59号,https://www.ruc.edu.cn,"人民大学,人大",,7500.0,1.0,1.0,79.99,59.78,23.73,0.2967,
清华大学,4111010003.0,教育部,北京市,北京市,本科,公办,1998年5月,首批9所（C9联盟）,教育部、北京市,一期,1999.7,1.0,1.0,1.0,A类,1.0,（自主确定建设学科并自行公布）,0.0,,0.0,,1.0,0.0,1.0,0.0,综合类,1911.0,北京市海淀区清华大学,https://www.tsinghua.edu.cn,"北京清华,清华",,6632.0,1.0,1.0,362.11,255.75,57.96,0.1601,
北京交通大学,4111010004.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,系统科学,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1896.0,北京市海淀区西直门外上园村3号,https://www.bjtu.edu.cn/,"北京交大,BJTU,北交大,北交",,1000.0,0.0,1.0,57.79,34.81,11.95,0.2068,
北京工业大学,4111010005.0,北京市,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,土木工程,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1960.0,"平乐园校区：北京市朝阳区平乐园100号,通州校区：北京市通州区潞苑南大街89号",http://www.bjut.edu.cn/,"bjut,北工大,北京工业",,1440.0,0.0,1.0,31.48,28.65,,,
北京航空航天大学,4111010006.0,工业和信息化部,北京市,北京市,本科,公办,2001年9月,首期第二批共26所,工业与信息化部、教育部、北京市,一期,2001.9,3.0,1.0,1.0,A类,1.0,力学、仪器科学与技术、材料科学与工程、控制科学与工程、计算机科学与技术、交通运输工程、航空宇航科学与技术、软件工程,0.0,,0.0,,0.0,1.0,1.0,0.0,理工类,1952.0,"学院路校区：北京市海淀区学院路37号,沙河校区：北京市昌平区沙河高教园区",https://www.buaa.edu.cn/,"北京航天航空大学,中国航空航天大学,北航,BUAA",,3000.0,1.0,1.0,142.84,83.99,27.59,0.1932,
北京理工大学,4111010007.0,工业和信息化部,北京市,北京市,本科,公办,2000年9月,首期第二批共26所,工业与信息化部、教育部、北京市,一期,2000.9,3.0,1.0,1.0,A类,1.0,物理学、材料科学与工程、控制科学与工程、兵器科学与技术,0.0,,0.0,,0.0,1.0,1.0,0.0,理工类,1940.0,北京市海淀区中关村南大街5号,http://www.bit.edu.cn/,"北理工,北理",北京工业学院,2820.0,1.0,1.0,115.9,66.02,21.52,0.1857,
北京科技大学,4111010008.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,科学技术史、材料科学与工程、冶金工程、矿业工程,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1952.0,北京市海淀区学院路30号,https://www.ustb.edu.cn/,"ustb,北科大,北京科大,北科",,1206.0,0.0,1.0,54.79,34.83,13.63,0.2488,
北方工业大学,4111010009.0,北京市,北京市,北京市,本科,公办,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,理工类,1946.0,北京市石景山区晋元庄路5号,http://www.ncut.edu.cn,北方工大,,452.0,0.0,0.0,9.95,9.91,,,
北京化工大学,4111010010.0,教育部,北京市,北京市,本科,公办,,,,,,,1.0,0.0,,1.0,化学工程与技术,0.0,,0.0,,1.0,0.0,0.0,0.0,理工类,1958.0,北京市朝阳区北三环东路15号,http://www.buct.edu.cn/,"buct,北化",,3000.0,0.0,1.0,32.3,20.41,9.92,0.3073,
