字段名,字段含义,字段类型,可能取值或数据示例
学校名称,学校名称,string,北京大学
学校标识码,教育部高校名单中显示的学校标识码,int,4111010001
主管部门,学校的主管部门,string,教育部
所在省份,学校所在省份或直辖市,string,北京市
所在城市,学校所在城市,string,北京市
办学层次,学校办学层次,string,本科、专科、成人
学校性质,学校性质,string,公办、民办、中外合作办学 、内地与港澳台地区合作办学
加入985工程时间,学校加入985工程的时间,string,首批9所（C9联盟）、首期第二批共26所、985二期
第一轮双一流,学校是否入选第一轮双一流建设名单及入选类型,string,A类、B类
第二轮双一流,学校是否入选第二轮双一流建设名单,int,"0, 1"
骨干高职,学校是否入选国家骨干高职院校名单,int,"0, 1"
示范性高职,学校是否入选国家示范性高职院校名单,int,"0, 1"
双一流,学校是否入选双一流建设名单,int,"0, 1"
教育部直属,学校是否为教育部直属高校,int,"0, 1"
中央部委直属,学校是否为中央部委直属高校,int,"0, 1"
强基计划,学校是否为强基计划试点高校,int,"0, 1"
双高计划,学校是否入选双高计划建设名单,int,"0, 1"
学校类型,学校类型,string,综合类，理工类，医药类，师范类，财经类，艺术类，农林类，政法类，军事类，体育类，语言类，民族类，其他
创建时间,建校年份,int,1951
学校地址,学校地址,string,重庆市巴南区渝南大道1001号
学校官网,学校官网,string,http://www.cq51.cn
学校简称,学校简称,string,"bjut,北工大,北京工业"
曾用名,学校曾用名,string,大连海运学院
占地面积（亩）,学校占地面积，单位为亩,float,1440
985工程,学校是否入选985工程,int,"0, 1"
211工程,学校是否入选211工程,int,"0, 1"
预算总收入（亿元，2022年）,2022年学校的预算总收入，单位亿元,float,362.11
本年度收入（亿元，2022年）,2022年学校的年度收入，单位亿元,float,255.75
财政拨款数（亿元，2022年）,2022年中央部署高校的财政拨款数，单位亿元,float,5.56
财政拨款占比（2022年）,2022年中央部署高校的财政拨款数占预算总收入的比例,float,0.3798
