学校名称,创建时间,人工补全记录,数据源,备注
沈阳工业大学工程学院,,LJJ_20221213,,
沈阳航空航天大学北方科技学院,,LJJ_20221213,,
北京医药职工大学,,LJJ_20221213,,
中央党校继续教育学院,,LJJ_20221213,,
公安部管理干部学院,,LJJ_20221213,,
天津市河东区职工大学,,LJJ_20221213,,
天津市红桥区职工大学,,LJJ_20221213,,
天津市渤海化工职工学院,,LJJ_20221213,,
天津市政法管理干部学院,,LJJ_20221213,,
空军第四职工大学,,LJJ_20221213,,
朝阳职工工学院,,LJJ_20221213,,
吉林市职工大学,,LJJ_20221213,,
吉林开放大学,,LJJ_20221213,,
黑龙江兵器工业职工大学,,LJJ_20221213,,
哈尔滨航空职工大学,,LJJ_20221213,,
齐齐哈尔市职工大学,,LJJ_20221213,,
鹤岗矿务局职工大学,,LJJ_20221213,,
黑龙江省政法管理干部学院,,LJJ_20221213,,
上海市宝山区业余大学,,LJJ_20221213,,
南京开放大学,,LJJ_20221213,,
温州市工人业余大学,,LJJ_20221213,,
淮南市职工大学,,LJJ_20221213,,
山东兵器工业职工大学,,LJJ_20221213,,
济南市职工大学,,LJJ_20221213,,
洛阳有色金属职工大学,,LJJ_20221213,,
开封空分设备厂职工大学,,LJJ_20221213,,
湖北兵器工业职工大学,,LJJ_20221213,,
湖北省纺织职工大学,,LJJ_20221213,,
鄂城钢铁厂职工大学,,LJJ_20221213,,
丹江口工程管理局职工大学,,LJJ_20221213,,
湖北省直属机关业余大学,,LJJ_20221213,,
大冶钢厂职工大学,,LJJ_20221213,,
湖北武汉公安管理干部学院,,LJJ_20221213,,
华中电业联合职工大学,,LJJ_20221213,,
株洲市职工大学,,LJJ_20221213,,
广东省职工体育运动技术学院,,LJJ_20221213,,
成都冶金职工大学,,LJJ_20221213,,
贵州机械工业职工大学,,LJJ_20221213,,
陕西航天职工大学,,LJJ_20221213,,
宝鸡市职工大学,,LJJ_20221213,,
甘肃核工业职工大学,,LJJ_20221213,,
青海省联合职工大学,,LJJ_20221213,,
喀什教育学院,,LJJ_20221213,,
新疆生产建设兵团教育学院,,LJJ_20221213,,
