学校名称,学校官网,人工补全记录,数据源,备注
天津师范大学津沽学院,,,,
天津公安警官职业学院,,,,
天津开发区职业技术学院,,LJJ_20221213,,
河北石油职业技术学院,,LJJ_20221213,,
石家庄工程职业学院,,,,
河北资源环境职业技术学院,,,,
山西财经大学华商学院,,,,
大同师范高等专科学校,,,,
长治幼儿师范高等专科学校,,,,
赤峰职业技术学院,,LJJ_20221213,,
内蒙古经贸外语职业学院,,,,
阿拉善职业技术学院,,,,
沈阳工业大学工程学院,,LJJ_20221213,,
沈阳航空航天大学北方科技学院,,LJJ_20221213,,
沈阳航空职业技术学院,,,,
辽宁体育运动职业技术学院,,LJJ_20221213,,
大连商务职业学院,,,,
辽宁商贸职业学院,,,,
长春东方职业学院,,,,
上海中华职业技术学院,,LJJ_20221213,,
扬州环境资源职业技术学院,,,,
太湖创意职业技术学院,,,,
浙江中医药大学滨江学院,,,,
浙江电力职业技术学院,,LJJ_20221213,,
安徽国际商务职业学院,,,,
民办安徽旅游职业学院,,,,
黄山健康职业学院,,,,
泉州纺织服装职业学院,,,,
江西管理职业学院,,,,
山东杏林科技职业学院,,LJJ_20221213,,
河南机电职业学院,,,,
平顶山文化艺术职业学院,,LJJ_20221213,,
湖南冶金职业技术学院,,LJJ_20221213,,
广州幼儿师范高等专科学校,,,,
广东潮州卫生健康职业学院,,,,
广西医科大学,,,,
北京航空航天大学北海学院,,LJJ_20221213,,
广西培贤国际职业学院,,,,
广西中远职业学院,,LJJ_20221213,,
广安职业技术学院,,,,
甘孜职业学院,,,,
贵州电力职业技术学院,,LJJ_20221213,,
黔西南民族职业技术学院,,,,
公安消防部队高等专科学校,,LJJ_20221213,,
西藏警官高等专科学校,,,,
西安电子科技大学长安学院,,LJJ_20221213,,
西安信息职业大学,,,,
陕西经济管理职业技术学院,,,,
西安铁路职业技术学院,,,,
定西师范高等专科学校,,,,
宁夏工业职业学院,,,,
新疆农业大学科学技术学院,,LJJ_20221213,,
新疆维吾尔医学专科学校,,,,
伊犁职业技术学院,,,,
新疆现代职业技术学院,,,,
新疆体育职业技术学院,,,,
和田职业技术学院,,,,
喀什职业技术学院,,,,
克孜勒苏职业技术学院,,,,
塔城职业技术学院,,,,
新疆工业职业技术学院,,,,
北京市东城区职工业余大学,,LJJ_20221213,,
北京市崇文区职工大学,,LJJ_20221213,,
北京医药职工大学,,LJJ_20221213,,
北京市总工会职工大学,,LJJ_20221213,,
中央党校继续教育学院,,LJJ_20221213,,
中国记协职工新闻学院,,LJJ_20221213,,
中南海业余大学,,LJJ_20221213,,
北京市丰台区职工大学,,LJJ_20221213,,
北京市农工商联合总公司职工大学,,LJJ_20221213,,
公安部管理干部学院,,LJJ_20221213,,
华北电业联合职工大学,,LJJ_20221213,,
天津市河东区职工大学,,LJJ_20221213,,
天津市红桥区职工大学,,LJJ_20221213,,
天津市南开区职工大学,,LJJ_20221213,,
天津市职工经济技术大学,,LJJ_20221213,,
天津市渤海化工职工学院,,LJJ_20221213,,
天津市管理干部学院,,LJJ_20221213,,
天津市政法管理干部学院,,LJJ_20221213,,
天津市工会管理干部学院,,LJJ_20221213,,
天津市房地产局职工大学,,LJJ_20221213,,
河北管理干部学院,,LJJ_20221213,,
太原化学工业集团有限公司职工大学,,LJJ_20221213,,
山西机电职工学院,,LJJ_20221213,,
太原钢铁(集团)有限公司职工钢铁学院,,LJJ_20221213,,
山西煤炭职工联合大学,,LJJ_20221213,,
山西兵器工业职工大学,,LJJ_20221213,,
山西省职工工艺美术学院,,LJJ_20221213,,
山西省吕梁市教育学院,,LJJ_20221213,,
包头市职工大学,,LJJ_20221213,,
内蒙古开放大学,,LJJ_20221213,,
辽宁兵器工业职工大学,,LJJ_20221213,,
大连工人大学,,LJJ_20221213,,
空军第四职工大学,,LJJ_20221213,,
抚顺矿务局职工工学院,,LJJ_20221213,,
抚顺石油化工公司职工大学,,LJJ_20221213,,
阜新矿务局职工大学,,LJJ_20221213,,
朝阳职工工学院,,LJJ_20221213,,
阜新煤炭职工医学专科学校,,LJJ_20221213,,
辽宁冶金职工大学,,LJJ_20221213,,
鞍山钢铁集团公司职工大学,,LJJ_20221213,,
沈阳开放大学,,LJJ_20221213,,
长春市建筑职工业余大学,,LJJ_20221213,,
吉林市职工大学,,LJJ_20221213,,
吉林化学工业公司职工大学,,LJJ_20221213,,
通化市职工大学,,LJJ_20221213,,
通化钢铁公司职工大学,,LJJ_20221213,,
四平农村成人高等专科学校,,LJJ_20221213,,
长春开放大学,,LJJ_20221213,,
黑龙江兵器工业职工大学,,LJJ_20221213,,
哈尔滨航空职工大学,,LJJ_20221213,,
哈尔滨市职工大学,,LJJ_20221213,,
齐齐哈尔市建设职工大学,,LJJ_20221213,,
齐齐哈尔市职工大学,,LJJ_20221213,,
鹤岗矿务局职工大学,,LJJ_20221213,,
大庆石油化工总厂职工大学,,LJJ_20221213,,
黑龙江农垦管理干部学院,,LJJ_20221213,,
黑龙江省经济管理干部学院,,LJJ_20221213,,
绥化市教育学院,,LJJ_20221213,,
黑龙江省社会科学院职工大学,,LJJ_20221213,,
上海青年管理干部学院,,LJJ_20221213,,
上海市宝山区业余大学,,LJJ_20221213,,
南京市职工大学,,LJJ_20221213,,
空军第一职工大学,,LJJ_20221213,,
南通市工人业余大学,,LJJ_20221213,,
扬州教育学院,,LJJ_20221213,,
浙江省省级机关职工业余大学,,LJJ_20221213,,
温州市工人业余大学,,LJJ_20221213,,
浙江经济管理职工大学,,LJJ_20221213,,
淮南市职工大学,,LJJ_20221213,,
合肥市职工大学,,LJJ_20221213,,
安徽经济管理干部学院,,LJJ_20221213,,
宿州教育学院,,LJJ_20221213,,
昌河职工工学院,,LJJ_20221213,,
南昌钢铁有限责任公司职工大学,,LJJ_20221213,,
山东省水利职工大学,,LJJ_20221213,,
山东兵器工业职工大学,,LJJ_20221213,,
新汶矿务局职工大学,,LJJ_20221213,,
济南市职工大学,,LJJ_20221213,,
山东省经济管理干部学院,,LJJ_20221213,,
山东省聊城教育学院,,LJJ_20221213,,
山东省济宁教育学院,,LJJ_20221213,,
兖州矿区职工大学,,LJJ_20221213,,
山东财政职工大学,,LJJ_20221213,,
长城铝业公司职工工学院,,LJJ_20221213,,
郑州市职工大学,,LJJ_20221213,,
洛阳有色金属职工大学,,LJJ_20221213,,
开封空分设备厂职工大学,,LJJ_20221213,,
焦作职工医学院,,LJJ_20221213,,
磨料磨具工业职工大学,,LJJ_20221213,,
驻马店教育学院,,LJJ_20221213,,
湖北兵器工业职工大学,,LJJ_20221213,,
湖北省纺织职工大学,,LJJ_20221213,,
鄂城钢铁厂职工大学,,LJJ_20221213,,
丹江口工程管理局职工大学,,LJJ_20221213,,
湖北省直属机关业余大学,,LJJ_20221213,,
湖北省经济管理干部学院,,LJJ_20221213,,
大冶钢厂职工大学,,LJJ_20221213,,
武汉冶金管理干部学院,,LJJ_20221213,,
湖北武汉公安管理干部学院,,LJJ_20221213,,
华中电业联合职工大学,,LJJ_20221213,,
涟源钢铁总厂职工大学,,LJJ_20221213,,
湖南航空工业职工工学院,,LJJ_20221213,,
中钢集团衡阳重机职工大学,,LJJ_20221213,,
衡阳工业职工大学,,LJJ_20221213,,
湘潭教育学院,,LJJ_20221213,,
湖南金融技术职工大学,,LJJ_20221213,,
湖南纺织职工大学,,LJJ_20221213,,
长沙工业职工大学,,LJJ_20221213,,
广州金桥管理干部学院,,LJJ_20221213,,
湛江市业余大学,,LJJ_20221213,,
汕头市业余大学,,LJJ_20221213,,
韶关市职工大学,,LJJ_20221213,,
